Ticker,Q-String,Date,Hawkes,Reversability,RSI,Vol Ratio,Idiosyncratic Vol,Abnormal Volume Call,Abnormal Volume Put,After Market,ATM Call Open Interest Ratio,ATM Put Open Interest Ratio,Beta,Call Put Ratio,Day Of Week,Kurt Delta,Skew Delta,Implied Move,Implied Vol,IV Slope,Log Market Cap,Vix,PNL Bid Ask (8),PNL Realistic (8),PNL Stock (8),PNL Log Return (8),PNL Margin (8),PNL Mid (8),PNL Raw (8),PNL Hedged (8),Earnings Std (8),Realized Move Pct Abs (1),Realized Move Pct Abs (2)
WB,2016-Q2,5/11/2016,23.53911269,0.191258684,53.47426585,1.518311083,0.511149295,-0.44911259,1.505351682,1,0.086288107,0.110166165,2.237163599,1.904427133,2,-0.643390184,-0.079195556,0.092418907,0.8144785,0.0063235,20.80995082,14.69,,,,,,,,,,,
WB,2016-Q3,8/8/2016,34.31280128,0.335302868,70.74529153,2.596281522,0.451553656,0.038398693,2.621827411,1,0.036925529,0.002656513,1.04196259,0.993468667,0,-4.601518358,-0.484909799,0.07967617,0.63733,0.004729161,21.29491616,11.5,0.209478261,0.266365591,0.032790295,0.392385229,0.107867731,0.322042553,0.7568,0.770849315,,0.011265165,
WB,2016-Q4,11/21/2016,48.08375084,0.578117238,45.25877376,1.275473026,0.484815328,1.99577167,37.01153846,1,0.010351967,0,2.313835175,29.1875,0,,,0.081153537,0.9066685,0.034394857,21.49954116,12.42,-0.312467219,-0.236996193,-0.012235469,-0.072133492,-0.044293936,-0.163925288,-0.6858,0.458287403,0.096235125,0.124831854,0.011265165
WB,2017-Q1,2/22/2017,54.55975798,1.027102589,80.94802619,2.047005126,0.308161835,-0.661572497,0.681702588,1,0.064728353,0.001697793,1.341358695,1.843693422,2,-8.453823035,-1.274692091,0.076735916,1.121038,0.067425071,21.92174141,11.74,-0.352003787,-0.251380546,-0.011635748,-0.093662193,-0.042124882,-0.155273864,-0.615866667,0.628518132,0.068725387,0.073448805,0.124831854
WB,2017-Q2,5/15/2017,59.56089062,0.290299506,85.84617323,0.73630138,0.269173247,-1.13299082,-0.957784429,0,0.027461533,0.001724971,2.006321543,0.799255121,1,0.705022798,0.426722295,0.080990843,0.879745,0.036767786,21.99923041,10.42,-0.767692981,-0.630420545,-0.034183778,-0.332400987,-0.126480644,-0.501351502,-1.94375,0.451196599,0.124577741,0.160109947,0.073448805
WB,2017-Q3,8/8/2017,79.96116225,0.092180281,69.30835591,1.54049815,0.409119148,0.344995102,1.018761712,0,0.012515872,0.007618357,2.71372754,1.510473588,2,-0.62991676,0.039516442,0.110718994,1.3324935,0.070952429,22.31505024,10.96,-1.17160893,-1.03681289,-0.064752427,-0.529139865,-0.23773704,-0.909794715,-3.9078,0.254048189,0.153093029,0.249602544,0.160109947
WB,2017-Q4,10/24/2017,102.2274824,0.172542245,35.15236365,1.091715743,0.282791009,-1.651139062,-1.653192051,1,0.006608399,0.016840759,1.923694213,1.261812922,1,-30.48712887,-2.816750068,0.022539758,0.4175375,0.001624714,22.53832788,11.16,-0.882058882,-0.765543262,-0.044092708,-0.27951541,-0.164867448,-0.655610054,-2.405316667,0.364209697,0.13810676,0.011245073,0.249602544
WB,2018-Q1,2/12/2018,125.6497344,0.198946438,48.44459015,1.246981769,0.322746787,-0.929592722,-1.133681092,0,0.00394171,0.004658385,1.706883683,1.240899358,1,5.730127185,0.442823527,0.095194905,1.0336335,0.043256857,22.74906039,25.61,-1.01159764,-0.862892938,-0.042698864,-0.345119274,-0.162497288,-0.724040144,-2.531757143,0.55092804,0.13218877,0.057184598,0.011245073
WB,2018-Q2,5/8/2018,122.2368396,0.070496872,62.67067161,0.777901371,0.421180691,-0.13173383,-0.418762453,0,0.011916873,0,1.600605686,2.697474476,2,0.255896808,0.076782877,0.087398717,1.053387,0.055753571,22.82770423,14.71,-0.940161093,-0.796985635,-0.039929971,-0.330409549,-0.151119474,-0.663326793,-2.5191625,0.52107564,0.124393192,0.09593441,0.057184598
WB,2018-Q3,8/7/2018,88.88981239,0.28786019,40.51197377,0.552646837,0.275176614,-0.546173702,0.747567142,0,0.002129075,0.001330672,3.21252228,4.292253521,2,1.746471125,0.358203236,0.096166886,1.1347135,0.065532286,22.40023938,10.93,-0.96012901,-0.826236143,-0.043980776,-0.375259358,-0.164930458,-0.70104034,-3.325566667,0.436657192,0.131344579,0.141964216,0.09593441
