,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,23.539112691532395,34.31280128416716,48.083750839243265,54.559757982268735,59.56089062351791,79.96116225397265,102.2274824013067,125.64973441251814,122.23683956249123,88.88981239383061,61.05367454462178,69.73371655148217,61.874055172067784,38.874102459011205,53.19521001106676,45.39159990205234,36.99564785558449,36.39837839457544,,54.92871569410332,51.33393997152487,56.678811572847536,47.45508583987427,30.842279090768308,22.208685329886208,20.18906067490113,13.936735956619684,22.562254274709076,,14.083327618101922,12.501541963742032,,,,
ANET,,,,83.02333434687104,65.21517240411515,68.30370619292403,85.99356449065625,66.90913710334557,61.12957678928362,66.63926707637731,72.87981792498655,86.4376074128377,100.41545235976604,142.14984822578003,156.59546931142654,198.20368594945236,288.08760579446107,270.4503017615059,277.2522372352292,242.1960600932213,232.58346572468156,328.3304250439733,281.7239702156673,249.92500819820285,236.29178949811396,217.85385352850167,247.0884714679829,220.55993120784058,324.3177541711254,,,,129.0112824277357,127.81154067494896,109.25541727140997,116.68388186007616,132.80632646415697,164.98044741128848,169.2288986714571,192.05941410722664,275.26905905764227,277.7677391960028,346.3798378981442,416.9132055862196
TRUE,,,,18.656580809220706,19.952731270325962,16.262676300972977,,,,,,,13.573958470124806,17.11775746310282,20.232300706172783,16.42333145470566,11.816181855325208,10.229205957948544,11.68684671892997,12.159125650475985,10.080713023832098,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,77.73436561565296,55.05259328227814,45.99414075025223,57.504275634109995,30.643136223665522,12.717827400781752,12.872653029315376,11.705450958713971,14.365359190200815,10.242518601922056,,,10.340006273121595,,,,,,,,,,,,,9.75768981479213,11.655220614640633,10.71010991999816,9.208312853174823,9.622642373345435,9.095942848829571,,,,,,,,,,
RDUS,,,,,,,,67.91592207682409,,,,,,,,,,,,,,,,,,,,,,,,20.093620153256165,,,,,,,,,,,,
MBLY,,,,50.07827705466353,37.81913654020387,46.983853235864196,61.1025205262315,48.28015449067178,28.873789823146968,39.70945010720599,,39.575917786357124,45.35812078409397,,,,,,,,,,,,,,,,,,,,,,,,34.52492467821195,44.73542533541209,42.31839384578264,38.08517954254012,33.19931985072596,31.884198706820868,24.645338432270577,13.169873603156288
AMED,,,,,30.1483923414166,,44.27856789379314,40.77805136736037,38.119607027232945,52.118884784417155,54.55549607268273,45.757902923973944,48.98841294295999,54.96813971666964,,,58.19771700327161,67.88702543095941,96.39119706800166,113.91193914036045,133.72282843857528,128.6175016818656,133.69817158045709,137.08051389205846,194.84075149010064,191.81937165816632,216.83507666639764,255.8991089926463,,289.09665158789545,266.86976499991545,169.8008521603834,144.49610617930134,154.891146403167,126.8846709784277,103.22213650173285,,80.79063385249954,,,,,,
AAPL,458.91506717615175,545.6052644930442,113.49748881769668,102.89239400383113,113.58522487896965,131.65448145946146,131.52497076048064,117.30625504881833,103.78776894906437,110.93436087903167,100.89232449554532,119.96833807057881,123.82984220378592,148.6121930682534,154.46773007855623,166.4500614866273,178.04645040431564,174.59660825544083,197.3616117223187,226.88420682280127,159.43150669339818,207.67240465321788,212.26273924599573,245.65135593157603,317.8967106205788,285.4850272448188,391.1541859539948,120.03591578997096,138.43798879608212,135.77880575223435,148.79487467613347,152.26132593674748,173.32249645689137,171.16291260170047,154.41102118074502,151.03655316221094,145.00986119343787,171.51737354951982,199.1162885809507,179.77225499588985,195.71753283091212,176.06302274241588,228.79295852856336,238.57444825452205
AAP,107.95073903275514,126.34348366094707,129.53092489759197,147.45110306928933,164.21264854355573,153.63061734460513,177.26749151314465,201.8603790374841,151.0095028020697,156.53606268829915,172.61717743520478,146.9957767509205,,150.5389586205673,112.53704794725137,86.28894783313196,114.46223615050506,120.93121767604065,148.2574839636854,172.5529895722914,,167.52362703650036,154.45519012208254,171.61052082283476,,124.67497913633211,157.40458677926674,159.32228303620164,,201.94787975235747,216.504799373031,238.83142513957011,237.43973389102234,212.59239074120202,205.79478698309887,187.77163652278387,152.0858733927752,122.67187485025964,72.76308976239683,56.68975091248964,65.63141999600163,75.37371129787364,62.98147151371745,40.00341624516109
ABBV,43.76628934113395,51.497575958682944,56.56685192442241,,65.94007869337514,63.19204499421094,71.8395740609873,55.893450308844415,58.688234265721775,61.70110768661962,65.7586831833553,63.99347670921775,63.715370870734375,66.78472771144529,74.98403880793751,,105.77539919935062,97.51025758749189,96.8412139502726,88.31380517878415,90.29029041705236,82.82858393197608,,79.210369579824,88.46675364832134,,101.07093828210593,87.53966926350282,110.26606057244254,113.04338731381733,120.92399527073067,112.64849672940784,139.67460901371433,165.10057380142726,154.92163696534521,150.65347693334772,153.68883062426553,166.44758472996136,142.8033832890912,152.73774829824853,168.80596441027504,175.02330136566928,176.2957675069389,197.47565281968573
ABT,,39.4004387799077,42.41308107316128,42.99963503334385,45.802944302957286,48.181252048696344,51.28333179704964,43.07512294074343,42.57117774876585,43.89596911508902,42.0838328957677,43.175916809570325,41.2789000436314,45.25787316554828,,55.83508836039506,60.22193683248453,61.30348023377666,64.21843232090778,72.76713370367558,,80.92239742072388,86.74926367230364,84.25142720136061,89.56979443621505,84.2489717809537,95.46930805869827,111.43781424551855,114.82880352275193,125.20131709138812,120.9456304937904,123.25376568466018,134.4172303380068,122.89728763945072,111.78396952029519,105.6250445588071,114.92898835300434,105.15216732012999,110.2924988333509,98.75174196765859,115.60588899968369,115.23608065220668,106.9554802529753,118.81584614687239
ADSK,54.78636769467239,49.37040560028644,56.91672816434191,60.08523807208086,61.79725638924276,60.57976631445838,53.82604760475911,61.43682094110575,49.44154970786676,60.76595510818725,63.86004752619772,76.95608979793258,88.3650055091662,96.67212336553925,113.16904960157257,130.41444411784786,,139.4779033025313,138.69040727786435,136.95295242941776,162.59442548814158,178.47800366621485,155.03023962191233,165.6391684918234,204.9456787400181,193.9352138925936,250.5516482712039,261.17091896872165,,293.4966928426991,340.3557710096649,329.0729572748014,238.73113520661315,196.8253034279951,225.72273432600724,218.23005892318534,225.3029610659148,203.90042649956627,212.402385705024,218.12811097088522,264.96696402826325,221.7296965994327,258.4746871547438,317.29439225594274
TAP,52.5452753676951,61.47175485396991,72.93007427501966,75.66589348559708,,77.33074867434804,73.07779504919849,89.76191114114711,90.69134121360321,98.92127601605269,103.17958759746988,111.05069538394831,99.62313546692842,99.12851469333542,91.22846545620358,84.97749940633418,82.16108069517523,75.36773107355391,68.38465834464712,61.289563941273606,,63.75794380952764,57.687968782425,58.674168487652906,58.5473271629059,44.90320752431114,37.27520721020192,35.94936797967528,51.449014589077024,53.67543890944068,53.29419962611852,46.83615729513558,50.55488071177514,56.04405768737096,59.68118168238032,51.19930735489041,,58.90018117813086,70.89030801371239,60.825472331064525,63.81705019564231,66.89224289323916,54.194268798335884,57.662207698483
ACAD,26.751244475815646,21.027918727606227,,28.04114105640399,36.27561472474205,37.57799075717565,48.87272683353515,37.963389021777516,20.451332257720093,30.81643895050927,,24.86131001879114,,,30.646255506208234,,,,,,,,,42.34719249664398,,,,,,,,,26.142929994794528,,15.44381159080666,,,,,,26.693995565346928,,,
ACN,85.67793798076305,85.27633773826767,83.34474196621728,87.12329680854906,92.66696911400396,100.23419367644198,101.09373565201464,111.0595757175597,108.64927678205754,122.48813305171608,117.38960003900667,126.0923863117116,127.82864353374728,130.24345187376528,140.05240125415258,154.9954818937323,166.11872989753522,164.91137607377368,177.2240307004792,162.86228099857155,170.12887497571467,189.55188443031878,200.84687618460373,208.31974193246643,,,244.90509371687077,254.72913591421013,266.5646031900264,294.23901024812784,348.54184501180964,381.71242972626555,327.3922284427886,296.43361229439114,294.93751597173224,,268.04886990609117,318.20296846347424,328.0575376796494,347.90056320253734,389.34397209986037,,351.9449056644356,370.7880691090711
ADBE,69.59041514430616,67.7190710321497,74.18644874970816,74.00578540668658,79.75983874815971,81.8599265848577,82.34302945819661,93.9243534830826,88.73730250413055,101.21389748041213,104.17210756131482,,124.02003791237374,144.57243203153888,159.81065688122317,,219.10561702075574,257.0851270852979,271.3827919105503,,268.41813273433934,284.66364642175296,294.01119771647217,312.174819529592,351.89187393560945,398.1045954649793,503.7324252373476,495.1497891034641,466.82977849001946,539.5561012496856,676.713883481119,671.2728334504886,464.26557540766225,414.61033833148707,403.7185179468309,,351.902202717713,447.25472372039286,565.6034212453363,630.4546460593037,586.1099327774949,480.4525417317037,586.9430952546346,544.9168849172042
ADM,37.29694093248317,45.57470590940236,48.74246969166349,48.16223573865215,50.04902801679102,50.25750357518279,49.67447927228474,47.089520840237334,35.154991826811056,39.89679755089053,45.17423057110261,44.22347318413326,,46.870690034533325,42.99996505621931,44.77969811004814,,46.64020125147696,48.800461828713566,50.26717415269812,45.15367624674907,44.24601935002468,42.31457510045725,41.906113069540574,46.053132235972754,,42.53648728936557,51.39971199302944,53.46626518292286,60.51361061707391,,65.90681094836488,71.11560402856844,96.06206282754229,,89.7406229380875,90.09824596881784,82.96476651427075,81.45855528858846,77.0400363018412,,63.48669966456478,65.36579816101084,58.70444671973785
AMAG,,,,,,,,41.02325099047427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AET,65.12890785057253,73.66252050112826,86.06818283390686,80.99251759527581,95.22637347996539,111.0045225853051,118.3219549059512,114.21115476303504,108.64248052196265,116.20520068473814,121.3795425034483,116.06526237923855,124.63400781048865,136.34784188724348,159.88960126598923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,30.965503592105353,30.646254730685826,41.70993851508999,30.602048062628615,33.07778199791192,31.2562450882709,26.265751978327366,28.917366508954206,31.59791663809099,41.57138565574485,55.640295638952786,,49.97915517929915,46.27766688400696,47.06814573647813,47.00773005313701,46.93119447961165,44.901973517717636,,37.380541028992575,43.35966793299944,43.39347965852877,53.77126276433743,56.08102670804025,61.89874556899187,56.30155285877102,70.73279587894906,82.91155730698668,73.25495150285977,65.73310698341936,63.667729424510924,57.854855842483666,,62.835578815386896,44.35073618684254,43.736067471469376,54.523202051182494,57.56354404041835,53.18111061705593,49.79172474111946,49.63297981720753,63.88409713231309,75.83288126181755,87.90339071312893
AGIO,,,,78.85682227400314,,102.58677432322864,115.42387467483815,,,49.95806458866523,45.62865802575782,50.84248500329632,,52.3986294877468,,69.62903479534157,,,90.8326295999318,,55.112477421881685,61.01316505355992,48.69594293703299,34.06936340113722,51.59211532307411,,54.03376848222175,,,55.81684855875094,,,,,,,,,27.570913455332484,,,,,46.210042415305246
SWKS,,,48.705633012402636,58.754583275578455,,98.66744105131292,105.9632891721999,82.22068025369401,69.14356416799048,76.29938275002736,68.12277718164107,79.36124932531496,79.35011872632333,104.27836671846315,105.85831978931431,112.89112353526274,,96.32211799544655,103.3009388951694,87.86811264817615,73.5343973314554,91.26575671667183,84.34331898858176,97.75804323842394,124.9277812277304,98.95447572868999,136.81002991753004,151.8268032920219,163.58798645729053,196.38407887443924,195.8377847772315,173.06069441775662,151.55839806108278,124.07598474596773,109.0853179513669,88.33340138303771,,110.29370391507207,115.30467027299353,94.6057159662142,109.40112680304388,106.50275560702704,117.3155997551527,95.06418220107784
HES,66.94265771782312,89.018114928646,102.5623811695152,86.42898217031255,72.98372691008619,76.72746020587748,64.05218433103364,60.4956604222807,41.90535889272122,59.85167859835176,58.06878189988363,53.477628311946546,61.64195944019887,49.76797786879103,,46.44036341345887,53.1259656986291,56.49286767244277,67.08496021790324,65.24252420632429,51.70338091540381,66.20989695545993,63.07653642081392,68.00298970909034,68.69292444591129,43.526252768328874,51.23970399625862,40.047220192305076,60.770667399306376,71.99618951444391,81.93756199485252,89.14633975764431,88.92683419294023,111.92697872853,106.23828618227797,131.22733479128593,151.88556970781207,145.81740843566655,,163.33929986227903,,159.39068248668073,,
