,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.5111492946660364,0.4515536564987465,0.48481532806476924,0.3081618346288434,0.26917324676186477,0.40911914754434375,0.28279100924359885,0.322746786653998,0.4211806911223187,0.27517661411112365,0.57557770953025,0.5065666021523958,0.3804612614289512,0.282292083160275,0.29512361799295833,0.48799724762040303,0.456859898455355,0.40562021129962894,,0.49892850632951236,0.34575559088620417,0.48290869698940103,0.3622627036327857,0.4951054631003407,0.461098588075834,0.482463462035744,0.8006532228802287,0.5671686424281308,,0.41327290584572873,0.3091353331781764,,,,
ANET,,,,0.5042468149451557,0.402101400339145,0.28919917312417864,0.2843556482251477,0.39356413360666703,0.42411823243194,0.38999527865042416,0.22057127568193985,0.18389432670646064,0.3301350769210148,0.13839429184463645,0.23815779936186812,0.3001197187365024,0.26699228192216534,0.38221421166403013,0.2911624816098115,0.2701062998679983,0.2867382428639991,0.22572185897682648,0.3055289081652062,0.23790999571583368,0.19354136024755894,0.4296513261727745,0.25232673950564355,0.24941184699900856,0.222818108571756,,,,0.2761090110888213,0.25227375248442474,0.2078650666691121,0.357025848245678,0.27167928418371395,0.26285487910961414,0.36966958209954154,0.2971506598233703,0.226565151876736,0.3225466295700844,0.2863079546236683,0.21589733087309818
TRUE,,,,0.7039530613561421,0.5361874205016379,0.44196806193707344,,,,,,,0.2196099623739702,0.23286700760230788,0.3353760840848385,0.3010362423881167,0.28314543421833954,0.23768215895545144,0.2653186444114426,0.20124539179367362,0.2742381109367347,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,0.8101942026901565,0.7927866980632262,0.4329432467188479,0.4285750322485499,0.6017919372893361,0.8268059797143338,0.6636581683451285,0.514217583924062,0.576670330601017,0.39858927704711655,,,0.5443737251350236,,,,,,,,,,,,,0.6728241920190015,0.7001761495306532,0.4586587917647197,0.26268312316570275,0.2603667703472477,0.32475645746713766,,,,,,,,,,
RDUS,,,,,,,,0.9147354845743928,,,,,,,,,,,,,,,,,,,,,,,,0.6881880999246671,,,,,,,,,,,,
MBLY,,,,0.4890136498732229,0.4012855636228072,0.35571639294684804,0.3159629077149213,0.46538635003848605,0.7076821450995671,0.39744611280329617,,0.23585928110559987,0.3926372221421745,,,,,,,,,,,,,,,,,,,,,,,,0.5883001564166399,0.4309557001332326,0.40050200140245235,0.4172459951108095,0.660032035904909,0.4546083916630151,0.6466637928838038,0.6634803452798734
AMED,,,,,0.26055843708300575,,0.29021948107246753,0.540953872658504,0.42727125362645807,0.4147576256540541,0.20704077807827148,0.23706995008438253,0.25653052005334914,0.12794866595790513,,,0.358794463573896,0.2014937972133616,0.2804447128820707,0.37510705831406105,0.30899876391654657,0.3808872819508385,0.19484700987105652,0.24278210426444224,0.15425554235928832,0.7218371901391802,0.3758290628917573,0.21271004007246272,,0.2220355497587388,0.29399039307566377,0.3756706555880822,0.3900180771658811,0.3804063038207423,0.523680118268758,0.29072573414632735,,0.33436225845395834,,,,,,
AAPL,0.2088600845333283,0.1152685666265637,2.1272448736701284,0.19917706142656758,0.17565355481202527,0.15208791138903813,0.12094407732321079,0.21373189468201514,0.1934784756891564,0.14759972358909265,0.105016095149069,0.178136758220104,0.08678166894863948,0.08265004468033832,0.14852117499163914,0.16575053886416324,0.1255379053512446,0.17192169823496956,0.092092073397348,0.18157920332302738,0.22312218135430603,0.1532152424294202,0.12836787656757087,0.1431181966667387,0.1175676445312189,0.2355324330219529,0.19798911968086055,0.2767231313016059,0.25983229628782367,0.1895348037778519,0.14494376595467917,0.11085875053175952,0.2021344651807558,0.14440729977350666,0.14385782364516356,0.18965069615067912,0.152296432592433,0.10881155241530396,0.09969635805421063,0.1556852472961146,0.14709823404636851,0.213432387713635,0.24013689421478146,0.1696106853044974
AAP,0.16922012514949428,0.15822967259722515,0.19586971018602325,0.13570092921685134,0.17860261743245445,0.18864081982505299,0.1281026458853258,0.27444018210711435,0.28951113201029693,0.1979643735315689,0.15265331193109796,0.19520148386950362,,0.2091611884980194,0.38947532734119894,0.26881364735282764,0.2677912788820338,0.23138427653047697,0.17907514484655546,0.23156133489804898,,0.18628015226300118,0.2149738122043074,0.20524301902014183,,0.4537142760036988,0.23999615392299373,0.18457814863343144,,0.21497211390754165,0.17914889261420597,0.1960047610502472,0.2164902953039533,0.4024378509615843,0.22249669334182173,0.21750233522430162,0.21413302194731829,0.2143471889567103,0.2758711392911074,0.39651216255491084,0.3304747017356188,0.3393812515984642,0.3570003900941498,0.41813027708285255
ABBV,0.19462014133158279,0.19051082618844611,0.19311907778310483,,0.22472246331101742,0.23571338691033225,0.1204951662291395,0.3874266446832723,0.3562073016992997,0.2015046693531428,0.19676615371471726,0.12483827719486615,0.21572299557608604,0.09456438703822098,0.12759480749827493,,0.1471749513921841,0.3320231722770959,0.21748952898548793,0.2575941707972034,0.2671160845653246,0.1487996662367319,,0.18182206448940114,0.15797655553789564,,0.16894265950854345,0.1563638884322827,0.19018597701977155,0.19757079755756787,0.11048520010573214,0.21953634953128967,0.16253051330094861,0.2446863217452446,0.18544601667710908,0.22773940594369846,0.16362145430734099,0.1441665112744387,0.20074094349926225,0.14007454466813019,0.14198156948074037,0.1888686882299288,0.21488771221639344,0.14988646577557616
