,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.19125868407276986,0.3353028683488322,0.5781172383537693,1.027102589164076,0.2902995055058096,0.09218028118605899,0.1725422450251985,0.19894643785730792,0.07049687214380887,0.28786018995298746,0.1553182157257285,0.40064191927162324,0.1777011767995149,0.14899271839491895,0.19864896152753989,0.30821017062081124,0.08848130551220262,0.19068933953474965,,0.20317753797896262,0.1794831440289168,0.11047165020077468,0.8903366099897804,0.32458899504802485,0.17861088605133035,0.2057036143737584,0.25562843254499984,0.1131291366663418,,0.019213973666330056,0.07156656258243163,,,,
ANET,,,,0.02660999348932063,0.09668008828601143,0.047964132591659735,0.050736311090989514,0.16546210296066882,0.5456179126359552,0.031826316332545936,0.1777011767995149,0.223204359208837,0.3457183168848257,0.5117740589562612,0.21210054037039627,0.31182806365203736,0.22795706461995427,0.11177728676879849,0.04251144646484445,0.08711007313031147,0.21160913141956597,0.4915594673827814,0.3464994402136573,0.09173554993526058,0.5006180943746875,0.22605269422244462,0.4497766545376853,0.14918092371217712,0.044287716617704725,,,,0.1415431156119844,0.05073631109098953,0.04792965557824223,0.042564327267869406,0.014070661687988616,0.040381621599239276,0.050580045583923997,0.0968988875430993,0.3151995829778438,0.22078419321182347,0.04539959645297299,0.5476921749091603
TRUE,,,,0.4142487229413797,0.07626083218722235,0.161650261870089,,,,,,,0.13328541527716725,0.21308877013349448,0.10283446808292772,0.1310982807964473,0.04206742879850547,0.2418514651837728,0.011463503152335009,0.25237132151040337,0.04958279500214004,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,0.042564327267869406,0.230451998601759,0.15995704166767966,0.7446573796341179,0.08422715567807731,0.3325936100787175,0.2010054074504496,0.2146062991271928,0.29106377997273575,0.04916511699255369,,,0.057849546415098305,,,,,,,,,,,,,0.0939657826951575,0.015194822408772086,0.19163280817765735,0.030569939773434144,0.2218579390566643,0.26665557005273866,,,,,,,,,,
RDUS,,,,,,,,0.07436528751397084,,,,,,,,,,,,,,,,,,,,,,,,0.6663419146408716,,,,,,,,,,,,
MBLY,,,,0.13278787472145373,0.33716906982875494,0.2037353969656355,0.21010976430371464,0.06824582779700275,0.0636098187847215,0.10028385396232325,,0.5467366342003339,0.35394254759578236,,,,,,,,,,,,,,,,,,,,,,,,0.6355238100987348,0.23113377263030643,0.07515881416452358,0.2374627761380665,0.12128523517698848,0.05768640058071606,0.5288550746939766,0.2461834765998703
AMED,,,,,0.09192016443991682,,0.5670496213922183,0.17484966734715304,0.14492038643774843,0.49211965192146295,0.4145068430640886,0.23469153048439603,0.45887387236118415,0.6671373356517196,,,0.21513620597927807,0.6348984166063405,0.22091577568496892,0.15188437112135977,0.10721513257687579,0.03718772399948807,1.1407099685094604,0.5321598119181692,0.6486385941529046,0.016019013082660266,0.1355570564696416,0.20875960242234848,,0.21372735161865547,0.29791031643782045,0.11112564449423551,1.0823972422398618,0.3680408949149867,0.05700836948393674,0.169773279021746,,0.06494074886623051,,,,,,
AAPL,,0.05756462732485114,0.3051847285310047,0.017723748202953304,0.1421315058599079,0.05074235785273353,0.22707978601277584,0.044019184181513266,0.5621875759937568,0.09509954575602386,0.1794931068505483,0.06318740842270835,0.39380417740834506,0.010776408592171709,0.06869585643794698,0.25966645885586104,0.018336130597895822,0.013007279990684115,0.00287275696722886,0.050736311090989514,0.04897812948947955,0.44218156675551235,0.5324398604291198,0.22091577568496892,0.7588536498717079,0.27693464475106316,0.4359841097729712,0.21257296835934958,0.05103236030169701,0.1897119984885881,0.5673270123737314,0.12398131983815353,0.14112638537007022,0.0837853892326378,0.16033120636515744,0.5124621441316632,0.027154744216738802,0.04188221005456054,0.12527629684953678,0.21052085454862624,0.12687934538084567,0.06824582779700278,0.6837714124051446,0.15795639544716555
AAP,0.5786054904224873,0.06318740842270838,0.050736311090989535,0.14894585182455056,0.3718273603084584,0.45837031140590195,0.6715493024058719,0.23069393644384587,0.2382509443464994,0.08011080144842855,0.08498784442324733,0.16064014688479406,,0.042564327267869406,0.22269144335510122,0.40149924746670573,0.17534702076769706,0.12398131983815355,0.3722631464804183,0.11579343501281848,,0.03850982849201277,0.06824582779700278,0.10229262868923143,,0.1560303281400911,0.09196398641840114,0.07507095697132929,,0.1345617713725068,0.07138388785529365,0.11579343501281851,0.04188221005456054,0.09988692208406062,0.3035789815764035,0.11184846223000441,0.1864850724317096,0.19785892270506217,0.08691015197899002,0.2451724303366743,0.19154246409562142,0.687935580446044,0.02522131140318386,0.10135333399275734
ABBV,,0.380765057944102,0.08248376713260318,,0.3523472397969091,0.11950739118229067,0.30081756518919,,0.4043169845871662,0.24511685766635483,0.10853011600384065,0.14824047986859565,0.09808069939322696,0.06081976621622466,0.8159747449869629,,0.3545330792355854,0.08654032116097607,0.022091637613951977,0.07462501505491079,0.06309112115848248,0.17236020792062046,,0.6137537958684155,0.09876333656236737,,0.5906683222992155,0.17765315279054666,0.09269112931668372,0.21529874918174102,0.2500004994636563,0.27131167555543684,0.7974957767241074,0.31206485141128026,0.22568001690213293,0.1739315654611149,0.5531599113297362,0.46213351228414473,0.14139297199957696,0.05183254796182165,0.5375842664374064,0.04131811394671901,0.3850617247429816,0.1222963198389281
ABT,,0.5898766930131523,0.13661654922047126,0.07049687214380888,0.15995704166767968,0.036139294009009074,0.0261022973416018,0.04256432726786941,0.08817794557395685,0.39744060897400957,0.0077538732075959765,0.09907730432027995,0.2212164616849521,0.3536604514395415,,0.2100077846196517,0.1788342756357989,0.16126461028442027,0.08188043947003983,0.5276095719442864,,0.0636098187847215,0.2120263536200091,0.4960596623626966,0.8471429435612321,0.17337366073856555,1.0428842037490471,0.002324638531812806,0.16238654906545674,0.23003127861894446,0.15050130009899731,0.08691015197898999,0.04126763878036156,0.3818534586669536,0.36928051569055365,0.24370103903148815,0.3080778317965305,0.18123682954488657,0.025467994179750875,0.27140838232269876,0.49837151122191403,0.31603005581786087,0.1681949031685179,0.20730140464038707
