,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,55.00366271458536,74.30489241079704,45.304595682916506,80.31351494412603,84.61421183659195,74.78393576237313,38.30732435107119,46.74635635760441,62.733702853032405,37.923489411270715,48.29538204706206,68.38523013348014,24.69645845348062,44.84680519333633,59.11621170239574,44.98735839624974,56.22308257762138,38.137560611933544,,42.21644411685863,41.40556897106349,24.531357248740232,39.32241683744621,34.46490895837108,52.86290887909138,58.62067103669756,57.089708535330224,41.08670921773346,,44.89708684412567,49.40503460469902,,,,
ANET,,,,61.129623100600035,62.60505164926874,59.96984520284051,46.517818494294865,37.35980175306955,43.80210093873528,48.1322093778243,56.61403768584587,42.43228297635941,66.25134055984024,72.39338225113373,34.95401197623499,37.86153599279247,71.62637909524454,54.680831930935305,52.76913251494616,51.31865270008816,65.44900811364197,45.2353462370207,53.13697518378313,55.45777605392739,68.99435330043683,58.4729027136945,77.98511608854781,52.815082502083065,46.1639859375561,,,,45.322787891228785,41.5057783325096,74.91271135617163,61.19416736862267,64.73116439458138,52.98758916208561,40.446745744631585,38.81506905207628,67.24808771236093,52.25316134949912,35.69190982649164,69.90034687349386
TRUE,,,,38.38910474790635,59.894882917843844,33.96296366470065,,,,,,,55.13210279409436,69.21519998603773,49.19156255048031,57.23828165014893,59.0721347551772,68.82160011089258,54.627663812121256,40.60348109560097,67.2602141758963,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,41.32538076412118,49.09905332920158,63.666697425198095,71.2409924963553,47.40775188986671,31.89299642852483,32.92271928218595,55.14285351965181,29.637425158197026,73.47645919560595,,,62.81832780982706,,,,,,,,,,,,,65.85624656324212,39.44668782301944,40.62420915959913,47.249144047977985,32.35757893437152,51.18521017538139,,,,,,,,,,
RDUS,,,,,,,,57.39615344301769,,,,,,,,,,,,,,,,,,,,,,,,74.60717652728648,,,,,,,,,,,,
MBLY,,,,41.28665981869018,38.11749334412661,56.694702536487476,60.25621519947634,43.72478035606426,48.510902960787995,40.43722876636481,,59.68238947533634,71.62509773198181,,,,,,,,,,,,,,,,,,,,,,,,52.896389486091685,50.83465564386924,46.54801840410679,36.75623342172451,22.693115339844272,54.698642448018475,29.524218519396427,46.5702835061469
AMED,,,,,57.24801654184005,,65.26723110543459,55.2154211999586,51.91177078307648,64.7611943286059,57.79690811369702,43.99731530807207,61.667401016939145,79.9778943327708,,,65.76130585986444,55.792239128341095,57.24088184999044,33.33388144878234,39.8059481881235,56.68916382800313,81.62151413148115,63.763010667923425,77.60617334693282,47.32777535501676,59.584860943591146,54.29258417997781,,59.73382116574931,48.35357485292523,60.107295008880634,42.56603784455842,26.700564496958837,60.42982505635897,57.047647424962314,,50.795349894712594,,,,,,
AAPL,51.519427752548665,46.10249630210762,11.588178760858515,50.390782269308865,45.73377691532556,67.13466892044998,59.982306690521284,53.90686159980393,43.37777323297845,39.64302710395358,44.81374762732158,69.1335405245318,72.01116723357855,71.08276764569973,53.58407282586056,69.75334036952735,34.6386240022801,49.112419411125124,50.34171055365835,52.38691859408145,46.90283426151565,56.83179687016669,63.62958118409933,66.21323637591853,65.83756100241494,61.26804535278981,58.384275714995184,47.88684664932537,68.06432354985346,59.16448003526396,62.07348435638779,67.04897140398865,29.992192969996562,46.70923445268615,66.36722131874897,46.86950512293954,72.11662006220496,53.68778116991649,48.98240589799917,56.394666661959064,44.33024179511712,55.060358927315605,47.818119869456275,43.23576986598622
AAP,39.04833822406298,53.485319372556184,42.12497155311219,73.94711430693063,59.1693949202243,54.62500113365256,56.937620136026545,54.409351499589484,35.14169297021867,32.11429944138939,56.58376445125372,50.792462941261405,,39.75798394260237,48.8740302193002,39.68629362196857,37.130355798028575,59.27332245504613,58.18422637085027,51.39159896038379,,44.6993219628255,31.757759211039268,60.96183068945052,,67.634793083375,74.09113389889065,56.82275628147608,,48.6782260322778,47.97967286222659,73.78848704720862,42.319856834555324,31.07292460693098,53.82229610044691,56.356891214128325,34.066278057131576,33.71601031586328,37.77070826021656,62.55537879910771,53.78794422925345,34.935237719116216,53.166802041442594,60.384948727193155
ABBV,37.28983731844678,46.320825660594636,45.44437503371607,,43.72396901934664,71.50629313980622,62.48218314914968,47.76689505247522,46.4350222179651,62.35506599605403,60.731089189138984,44.31943732485134,46.05600899615032,55.74413065744622,47.40211334178838,,74.99907778393755,35.430757182375814,48.68251443098427,33.59042420631257,45.06926165205542,40.684694819748564,,72.52033210784393,54.610054823104385,,43.84951288316446,29.22728783776142,40.289331658285235,59.41551242846092,65.05179785084881,51.60675021295717,61.4799159315078,44.59434239249042,49.610394808313224,68.72854432570166,27.146618834339424,55.71509521924564,61.68354622509352,39.26647528079697,68.60995412399309,41.90382757064153,63.239452756519455,44.098272201735774
ABT,,43.86187093315679,54.767691360884164,55.90229611853562,39.196466725619054,54.377233961559554,52.23289572907905,47.93557083532689,39.619892712600354,74.06435916373692,64.48498249540503,43.30681383655261,57.21961548775006,37.400161893600995,,66.09750911525073,65.3968611445152,50.4624311805688,56.234615212056944,55.65547096306552,,35.35629510237739,49.510736310629895,50.553315476670775,70.957105114173,64.79017568047041,66.85687865953788,53.4064271721801,68.04261811920867,63.07826643769399,61.37527492121123,46.99089309235093,26.056694882559626,51.789864887774115,53.10136006529633,57.1751233506955,55.765285951852924,60.59513000026587,53.018937937118885,33.12994061959644,69.65388904977031,37.29017198749674,53.98766176908455,57.3221778072056
ADSK,63.7769483408209,49.494414738636245,59.848752721344795,57.6456716914662,60.0530198243636,42.1989542699866,40.031275502551516,71.7857231497484,52.08697186993756,42.53964626988467,73.38682186335704,56.81837061589728,60.67066638181305,63.57696561506091,55.52732526492616,74.18940547635896,,63.23392374114207,56.77063032142053,36.889984198088335,74.59808265752,47.23872137832348,46.85467766784368,81.92278450480575,30.644947690293886,69.47497824012702,63.12951414896951,59.69694033248118,,53.506621493153936,73.08353520568234,41.56894930088598,37.00893924497778,49.58812759105431,49.96892478884545,50.4318827557099,56.5705925599807,51.0822645350685,47.90141333159654,63.04826358129867,55.004814495134866,53.94773908108359,63.510681561889086,66.92535568240093
TAP,44.99482398114239,55.0484235849126,27.549253045188763,55.68640733631285,,39.94399290220759,47.06528021363101,58.8224774907925,33.80568722684939,60.75757140677825,51.94541726580399,34.018286379366245,47.350767542452544,44.6394125792213,57.088771727728336,40.71728095231262,30.174611070451782,40.35027425169855,54.42393050421083,42.20781337193328,,71.53187628751924,61.60613686848617,40.49157828364867,71.07267828035977,57.97495233247104,53.66388015639382,35.13551768319448,46.26578109051116,52.840525276174574,28.28239515891202,33.191240120220975,49.19539550557431,52.939788434875624,68.19805361978767,56.220973600360225,,85.32637463751512,61.74289922721459,43.207968345415416,50.92726633446755,41.01395423481719,41.2752566568531,58.08529182324844
ACAD,73.6705544821518,39.90187111290073,,60.745641625858454,76.59300647644027,51.115942927985195,43.97454202047108,66.49032439060225,38.53246294016877,34.20564055133152,,39.65664212303587,,,51.817375577530804,,,,,,,,,65.22100454736305,,,,,,,,,52.69060047044423,,67.40123063211374,,,,,,50.26300495499252,,,
ACN,51.33905427870284,60.03099852747604,42.497906413806646,58.496155292026394,44.25150310302845,58.5505390442407,49.866585043824315,58.09268966268324,66.87282326091115,56.27189211590511,64.0875114744671,61.83159590608278,69.74224801470776,64.40418301791335,61.35274763925385,65.20656339641762,54.04890177027202,38.204314060530116,66.36193686846838,35.388572158310666,62.847956636940765,53.045366484492696,43.20898366370139,69.04702146316616,,,42.976986554860915,55.62772297650612,58.81477733799797,52.41961416300872,50.264123807946845,57.63220424792476,53.02673016182739,48.12484513920284,26.336336937984054,,39.57820369909629,60.78391793052209,46.87099535398021,70.29008660344046,54.91038075696804,,48.152372062123575,36.777277708283904
ADBE,59.84965952432874,67.39415160751733,43.66540540209311,41.885996623966406,64.04112226770484,57.50495218149063,51.931160512453125,45.18501458835939,63.68736714704225,60.050089237332415,51.05843057850343,,75.05405027960265,56.32599812762383,63.58675686770574,,67.50506447706167,72.02927654360266,61.44953147600053,,69.82591748263502,51.711730214074635,48.59644664003597,63.79860170196104,31.767798795070505,56.19041054476994,55.63223244616746,53.42165706433803,52.29815347881266,69.36839897419343,47.20568756358839,45.432517150194876,53.90525105321188,34.826012434753345,38.548947011280696,,42.78797981000221,81.96916073631932,56.08124028662236,62.40817627309978,49.54391238207865,44.0005557148301,66.00553666387313,68.6727938926427
ADM,30.546606282254814,59.33935248360752,51.50348411723552,52.37612781835807,44.88903064823948,77.49462622753562,43.05645524122391,59.185740269559346,57.60635129692594,69.74905996402413,57.21887226368337,61.61929344620039,,55.75923025823937,59.791389947223784,43.68402149069213,,58.25449290792483,57.092701578546226,45.725005676757704,59.68574627760649,35.284059464649914,56.03300405673724,51.88837026293108,38.4683508320197,,66.72796494651274,55.77230004751013,61.06739251994783,61.44226653258637,,73.77615822010694,51.34801442838535,48.004619612322415,,57.841597524988536,38.6948647207996,53.321354650028255,73.04678236906423,33.50430754702633,,48.152539313029195,52.11468993927842,37.504197748850245
AMAG,,,,,,,,49.79042337102057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
