,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,1.5183110827318491,2.5962815223391935,1.2754730255008428,2.047005125756675,0.736301380057825,1.5404981496264152,1.0917157427251318,1.2469817690992495,0.7779013714017174,0.5526468367262095,1.4865968505564813,0.6109857932835755,0.912968263855194,0.6933284340139172,1.1326395688452213,2.3777814955127954,1.350868960143347,0.9059099453389298,,1.042861023176044,1.5511955979045022,0.7181620770169245,1.0377990464261653,1.763210308554288,1.4715026654618066,0.7523136734085427,1.2456144302240049,2.252990991575407,,1.41021197921575,1.4686782807424084,,,,
ANET,,,,1.1622670530246735,0.9947655089757067,0.8251369344300754,1.1737112038944482,0.8744616149293938,0.7446063940348165,0.6619924459390968,0.36683982327093534,0.760182057530637,0.3398498890757392,1.3549822273885355,0.6472270483986031,0.4445451221468514,0.9600739652384573,0.6608562805294098,0.7030278210038005,1.0016601723859644,0.8112047301452275,0.9823591953814739,0.8004952142622268,1.4630452550937036,1.0449579654998784,1.1160484840756097,0.6623384541154325,1.0470549565657712,1.7115922112694706,,,,0.9695088226996117,1.0489790378782302,1.2482716497402249,1.4088732327266278,0.768053012199552,1.5974715895267895,0.8517404835432668,0.7442359789396986,1.1407536704861714,0.641462542435799,0.9147293240925916,1.1085279552279943
TRUE,,,,1.6648523040369825,1.1544094633605184,1.4356974973291172,,,,,,,1.1027735689324434,1.7788018181033338,0.8724010757532871,0.9922877259143855,1.375588591532812,0.6082120050324502,1.355834042342708,0.5494182344278618,0.651378345605611,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,1.035037342295699,1.0057763534106707,0.9503728017153024,1.4899099612819768,0.7524485143124129,0.943895432770349,1.5871724551606536,1.3719914901448065,1.1485961661418107,1.905876251067289,,,1.2475349175701032,,,,,,,,,,,,,2.9232310891612854,1.3486796146106268,2.247934999827774,0.9992903756267286,0.8835732538965649,0.8531422180276096,,,,,,,,,,
RDUS,,,,,,,,1.4190313058921928,,,,,,,,,,,,,,,,,,,,,,,,2.6650938642135986,,,,,,,,,,,,
MBLY,,,,0.7120835846741448,0.673762826366166,1.2847914675927188,1.5862011506876925,0.6889905646697597,0.849423694624844,1.4113764260737673,,1.0899412586848696,2.391665862552889,,,,,,,,,,,,,,,,,,,,,,,,1.3073020083971436,1.8411200402811885,0.8623413504929376,0.6756510863640826,0.16812216862681437,2.033229919158119,1.9432777410424202,1.4142955007955247
AMED,,,,,1.322853236069619,,0.9868933813092542,0.5698396697587297,0.622242738964592,4.26220444295149,0.6431935485291773,0.6588839100219992,0.7801754609881031,0.9446245856869228,,,2.0695223637007807,1.7128287539067153,1.507368247682231,0.4004235271128353,1.3257634536683904,0.7507830326684717,0.8038118091740445,0.5498499823082311,0.8274675698486583,0.7593770666697318,1.0053002666210915,0.7570129928217847,,0.9606517401921867,1.2883800409911454,1.116775024257429,1.3477947695690935,0.8551046900870379,0.6985404632842809,1.3897737416550582,,1.0703392366030202,,,,,,
AAPL,0.815009342492948,1.0503996188922124,0.031611214287734085,0.8337858742813373,1.087915812804265,0.9955292566574363,0.9733630130447753,0.9255969327382828,1.3461016908493604,1.4007149370390748,0.685599255055687,1.2507636440231311,1.6852770671972435,2.119919878213778,0.6512138942313315,1.3915960548665984,0.8588566430503468,0.9446642172361853,0.9011328903125064,0.8780833756679556,0.800917509783419,1.4346430941427313,1.3440362619448596,1.0724161375158408,0.9572760135238508,1.0090390565473406,0.6344744078432883,0.8043790504901047,1.4739307545387632,0.9769710351512979,1.109668364342252,0.6767481903283542,1.3230939179284515,1.0337831245685944,0.560431673621621,0.8096023016995176,0.8035923971153122,1.7679269387451344,1.874962786195118,0.5835204990317806,1.1532916089208676,1.024506972000328,1.78327363119455,0.9814505975056007
AAP,0.8898502841576686,0.6409264752338112,1.1792956046157805,1.5257819919020466,0.7937583923394188,0.49074480509486784,0.7977530601787278,2.4122343891411355,1.2846453181437265,0.4874187620694412,1.984448666594857,1.2237418396477902,,0.8766588892021334,0.35633025399793916,0.7103860012328257,1.2514982911111059,0.7654452136933266,0.9924329430434046,0.584756381267707,,0.7752190702279977,0.532291740597103,0.9969660283799238,,1.029829943967631,1.1218851305124071,1.0056328095737301,,1.0811385063785777,1.3012510612187234,0.9258383781836639,0.8202621115828456,0.42872284541229444,0.9639689483868478,1.454925135303327,1.0570094689526681,1.0108581613592822,0.9135752047738845,1.429693836318773,1.5372010857407101,0.7154303561741109,0.8471691253846734,1.1134215891979253
ABBV,0.5766603884493391,0.5393672239713656,0.9736307143436386,,1.0460103017373585,0.550452374664118,0.5421963424360716,0.48276612630347887,1.0513864127394754,1.3931578697186209,0.9964317255534888,0.8448101700861935,0.708123110633632,1.569220133202302,1.2045062826778008,,1.6417545873251251,0.37213672765470207,0.6525733150343832,0.8171744369386638,1.0636979039107317,1.0598500226114014,,0.8914442933666378,1.3638578112620987,,0.6451847319930737,0.6924096818334249,0.592058243572033,0.5071299368769056,0.911241451251779,0.277985231252534,0.7852427526846174,0.6580011795463452,1.2137576755591444,0.72104609639158,0.6493164181759729,0.6553366058423781,1.1718410549602485,1.0173769428503643,1.3118831768062431,0.32123294040439315,1.3136865244868141,0.7389135539090186
