,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,-0.4491125901275651,0.0383986928104576,1.9957716701902748,-0.6615724965671566,-1.132990819800212,0.3449951021786859,-1.6511390623797082,-0.9295927215181874,-0.131733830449548,-0.5461737021690578,-0.9043686781308591,0.1082413131153026,-0.6328624748779788,4.7417620461388355,-1.457093829985821,-0.8217554798593472,2.9886415265788275,0.9938575575368029,,7.558637423173019,0.6697142857142855,-1.0801101190928863,-0.3284206928958948,5.037037037037037,-0.2919098143236074,-0.8432630374832091,-1.0602128971578417,0.4338877587651073,,1.9646384198789426,-1.885249411260972,,,,
ANET,,,,-0.32525846480875686,6.025284211519412,12.433557194759437,17.65165441176471,0.17232272948033023,2.595764272559853,0.7921169739351555,-0.3799421407907426,0.5855803311050294,6.653586535865359,2.535484346069685,-1.8213926005505943,1.0452950410933601,-0.24154493193639093,0.4840393856721461,-0.221819641423602,-0.8855139379843177,0.24382681940782636,-0.6915444486441872,0.10046008741660906,0.3385477115607809,1.1556807400379507,5.056640000000001,-0.6469096274123,0.3224881329113922,-0.22541605574201884,,,,0.40523595516215294,0.022417770325318997,1.6728238157446138,-0.8382041803259632,2.430607132975082,4.327686441760596,3.4825197070734264,2.809911148527924,0.21935682531129075,0.028181214381592268,-0.09004696326122741,-0.10243184129072125
TRUE,,,,-1.0778947368421052,0.367283950617284,-0.5041985445045718,,,,,,,7.608843537414968,14.905986044803525,3.8444905725653005,0.08103413039035368,67.51983298538622,6.455284552845529,3.632716049382716,3.958333333333333,11.632075471698114,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,-1.1711681790932762,-0.018046878268976663,0.419232223084135,-0.5466688796480607,0.06658677074191299,-0.31946600140911463,-0.4895996617064865,-0.9446375264684355,-1.290411279787378,-0.012674220504512945,,,-1.124576359989444,,,,,,,,,,,,,-1.1992808270096242,-0.14314968233072578,-0.5797024327588162,-1.1004318516958078,-0.5422764530551415,-0.7723439868620515,,,,,,,,,,
RDUS,,,,,,,,7.2716297786720325,,,,,,,,,,,,,,,,,,,,,,,,0.8710794595385591,,,,,,,,,,,,
MBLY,,,,-0.9081550736751837,-0.8198696471450657,-0.19309170557012223,-0.0008965074015866437,-0.24302167632822502,1.8398450113012594,-1.000896104580676,,-1.348023193288577,7.342569547674666,,,,,,,,,,,,,,,,,,,,,,,,-0.6873101481619242,0.15914649058449504,-0.409383894190524,0.9682521087160263,-1.197331240188383,-1.2018279475471256,-1.355792439196876,-1.0315013922424905
AMED,,,,,-0.8146785820084923,,-1.2635292093263357,-1.8401988636363638,12.419758412424505,0.0675223214285714,0.29496992892290863,7.407894736842106,4.125989044430919,1.5119047619047614,,,-0.65625,-0.9171122994652406,2.855172413793104,-1.4328358208955223,17.77777777777778,-1.7585372852867627,-0.8966318234610917,-1.6718020541549952,20.964651162790698,-1.5782285599517976,4.104395604395605,3.085748078060319,,7.392405063291141,-1.7172098033934824,3.8405797101449277,-1.6486051301254445,1.7714285714285718,6.976190476190476,-1.086756552419355,,-1.2397137745974955,,,,,,
AAPL,-0.8046248072560714,-0.7980330484446296,-0.5153211885896289,125.76836005408538,-1.0696112595233151,0.21871080912449004,-1.1415261167265038,-1.018051582070972,-1.016687488922757,-0.8462516995759436,-1.0037858678004359,-0.35917096936188364,-0.7753538792988907,-0.8565075619123014,-1.3135294087148708,-1.4290200942589144,-1.7010708783565107,-1.244938922708435,-1.3035959042027263,-1.5538179157148497,-0.6148481946495192,-0.7270208347029161,-1.1151976955297118,-1.273528604827192,-0.8939591110908792,-1.2857622353549503,-1.5925173408923747,-1.5802109218630138,-1.6612416202300162,-1.2909091536180395,-1.390821048418958,-1.0280708969565115,-1.5474341547390456,-1.325611185166286,-1.404846417131605,-1.432411362524072,-0.9322997840655545,-1.2593039481708121,-1.296783809918329,-1.012571906525067,-1.4963906685522597,-1.22397446859888,-1.336239194460568,-1.3403209124234503
AAP,5.411163206761467,0.9143661578090836,4.968404523945934,1.3444514778205199,-1.0845699432892248,-0.6675587713163699,-0.04054054054054057,12.502296847774433,2.7622978436657686,1.9594090939892932,-0.8142394345457222,0.1272321428571428,,0.511183033687739,3.5859322319622375,8.699356140688064,-0.46076202999279925,-0.655719317997663,5.5337861013926055,1.0377042121196305,,0.4288793971874121,0.61509796850583,3.8673274876096064,,0.6074374279758128,6.530405027620604,-0.9604283054003725,,-0.5375972342264477,7.820809635329542,6.227174853230762,5.752594670406731,-0.27270765195158786,6.7991091822750125,11.59870533037006,-1.0039744996521331,3.1154438745034083,0.238761169739091,-0.8315193103348854,-1.1830142502731336,1.7455143131077935,-0.6094556626846965,-1.0094231069301098
ABBV,-0.9784269399284357,-1.5510604200763776,-1.8706269544007346,,-0.1326553727165346,-0.6429069970336765,0.2672910717685133,-1.1990666438581283,1.434364133236914,0.5057937483353601,-0.059944266978184335,-0.41108857336037863,-1.041263323976362,1.4419248927552903,-1.2900686256499325,,3.608589719547128,-1.1570622615960868,-1.4437520715942989,0.039861479516651865,-0.44294500019880345,-1.2148376574905013,,-0.6708683987487745,-0.40091786183945033,,-1.035411688652349,-1.2214952434211337,-0.034066409358192495,-1.115697646084117,-1.4185578863446566,-0.3552883897711484,-0.5802936194240543,-1.3525786533372537,-0.43330681570586715,-0.7388284310337929,-0.26106595024587864,-1.1431046955954827,-0.056509135021953094,-0.3995620653502734,0.35276915731678193,-0.8944762494197742,-0.3027951020612487,-0.8528569233356937
