,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,1.5053516819571864,2.621827411167513,37.011538461538464,0.6817025875770866,-0.9577844294734971,1.0187617115512677,-1.653192051194175,-1.1336810920612945,-0.4187624532334465,0.7475671415499496,-0.3897375667175612,-0.39861135749906385,-0.0013442522905897647,4.77187541988015,-0.6607404442665599,-1.0827390133096868,0.12341197822141581,6.8306852035749746,,-0.8010814464346062,1.4805194805194803,-1.305233423568753,-1.0446213489912677,-0.23529411764705876,-0.6241195565627488,3.7275793325686823,-0.2131018153117602,0.005641310957858359,,-1.6191811934619715,0.285444035733053,,,,
ANET,,,,-1.1400315675249089,6.821449563684044,28.748847926267285,6.556957526212902,-0.972289980961447,35.046345811051694,0.0769230769230771,3.119718309859155,32.895355876502634,3.1047169457869703,1.5082230961744725,-0.8888299790045172,2.1723620603433904,0.09888702846449338,1.0198044999121998,-0.9071265523136756,-0.5474838833830464,0.16455497006597763,-0.9847880299251871,-0.0501712463070928,0.5553876244665719,0.47973584444172657,5.638899082568807,0.1528097770669392,-0.6494502314814814,-0.866663816744845,,,,0.2691037735849058,3.0270563665118226,6.428119684142943,1.8304538502356649,-0.9879603263477843,0.8061638198698164,0.016131605118376413,3.392505249555806,0.40836173705361256,0.07119605405931728,-0.5967744848692149,0.6899353907746051
TRUE,,,,0.013559322033898313,1.4911764705882353,15.445041524181729,,,,,,,4.868191721132899,18.60487200660611,-1.4745921788796195,-0.7460148777895854,12.775086505190314,8.534420289855072,5.277904328018223,10.309941520467836,69.98113207547169,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,-1.3171806307273033,-0.20645358756246723,0.8982855418192448,-0.8046997110831728,-0.005858976786182635,0.5652934962743081,-0.11217918929325399,0.09305425481638929,-0.6570264858202486,-0.1780119974768608,,,-0.535796212323286,,,,,,,,,,,,,-1.4657021350272155,-0.6057434785646384,-1.1693615854786008,-1.3198721098121002,-0.8697648296768913,0.29875224453150473,,,,,,,,,,
RDUS,,,,,,,,-1.25,,,,,,,,,,,,,,,,,,,,,,,,-0.9996730957829356,,,,,,,,,,,,
MBLY,,,,-1.1589932838123265,-0.05051302288871373,0.6852158628189888,6.96319829115528,-0.6907580435897696,0.32523590745274955,0.9121865087383594,,16.771335445071845,2.4131234226115996,,,,,,,,,,,,,,,,,,,,,,,,2.0151567823124523,-1.6477979242525576,0.29868498817966893,-1.0018343815513626,-0.6493559960007058,-0.9378103966542508,-1.4227648719946628,-1.2265519338089996
AMED,,,,,-1.0894244847392724,,-1.894355767648511,-1.8706431908012937,0.0,-0.2772943037974682,15.138709677419353,-1.7446428571428572,6.371069182389937,0.0,,,0.6612903225806452,0.2248803827751198,0.8480725623582765,32.22141706924315,5.182,0.8073286052009454,4.888888888888888,43.388888888888886,11.494757281553397,-1.5294996265870053,9.092436974789916,16.520599250936332,,6.306962025316456,5.383966244725738,-0.16470588235294104,-1.4902770233568714,1.2876500193573368,-0.40885416666666685,-1.8447056574923546,,1.0512820512820515,,,,,,
AAPL,-0.9841731047729849,0.8133452963951697,-0.08786514816921598,4.286884921322397,-0.5576059840415932,0.3653224427552919,-0.9129552487061842,-1.1642327124972383,-0.5398601131703714,-0.6118318020065401,-0.5952312764858965,-0.26426875413982653,0.08365982138387107,-0.7919441842993356,-1.0971437196333482,-1.345491506930874,-1.675986633537923,-0.9753424598875524,-1.0624100967707,-1.5392088563388124,-0.5089234394567858,-0.3710535094087869,-0.9920377228055101,-0.9525812626008655,-1.1192766545169417,-1.3061484245591493,-1.5695453996975384,-1.5198218653097089,-1.6039141241343184,-1.4266544442383937,-0.8319254094452841,-1.0603077744074807,-1.3629312893596273,-1.2904121935414954,-1.2473099269615258,-0.8644561880626955,-0.9320505006028292,-0.7897540393347147,-0.9294349785449856,-0.8856281235108747,-1.342384363296131,-1.1539952485446872,-1.1393409944646078,-0.9363123118201325
AAP,2.480729464560693,0.12546484525273272,7.0420226960295444,3.741972571240864,-0.4007558915073365,0.5106286834434388,-0.8009433070024303,6.453347201855198,-0.7212332389368454,-0.470250385665124,-0.3166351606805293,10.872559095580677,,3.1833929191278454,-0.1740103036876357,1.3800582648256046,0.6295898035991017,2.43142760323377,0.740359210826385,0.4967946635849849,,1.3101736410209912,1.9857757590246239,12.52463768115942,,7.9697954943342495,6.205650026544829,2.8025316455696205,,0.3735715237968271,19.016431611290294,6.422352394436219,7.302151231804078,2.1754873591227546,0.6028399941443416,7.832251082251084,0.2977237696403514,0.2233729961928128,0.5113316375791892,-0.3900171474946331,-0.2589020710138722,1.9707397201607133,-1.02786922439379,-0.5255008661779532
ABBV,-1.5545455439797735,-1.56662382176521,-1.944647422645617,,1.7661792287557456,-1.3665206651480573,-0.8296037989935502,-1.2760452116684262,3.5109775623450963,-1.2126883704582399,2.461855131723686,-0.8874424762024838,-1.6232628344947568,-0.12392324571941105,-0.6697967917749329,,-0.43638659083597875,0.32628239836798145,-1.2712056251071857,-1.6617688051455473,0.13529169532485952,-1.4303435764212529,,-1.0931238295760988,-1.0170835008676975,,-0.8732607255761593,-0.8238563605669103,-1.2056782534300834,0.0025707536810459786,-1.2179363716779454,-0.8289059945766101,-1.1919684524920664,-0.41570049669433573,-1.0495718220980892,-1.0786128995423763,-0.9454661762354071,2.5001859040140397,-0.9861215864853662,-0.7570843056429872,0.8782031056184865,-0.7032035939639836,0.2521800647875787,0.6377265583057408
