,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.08628810676435955,0.03692552908881608,0.010351966873706004,0.06472835314091681,0.027461533153936384,0.01251587157627426,0.006608399062033681,0.003941710463449594,0.011916872547594826,0.0021290751829673984,0.020544783010156973,0.016111233723239905,0.021146749929037752,0.030484485574305935,0.007030270463908293,0.0020649929355504837,0.03511171910624715,0.0005521811154058532,,0.004328079080951109,0.003108003108003108,0.0,0.020068655928175336,0.05070422535211268,0.053156146179401995,0.04914285714285714,0.24882445141065831,0.0012494793835901709,,0.003419972640218878,0.08220457730032694,,,,
ANET,,,,0.08692579505300353,0.058868355877309965,0.17530355594102343,0.051775147928994084,0.02335361488904796,0.048078495502861814,0.08074021687883073,0.03140139960523955,0.017105422782967367,0.06629834254143646,0.022640646440006098,0.0071725432363587615,0.014997857448935866,0.02714986245664394,0.024918743228602384,0.0147922558190124,0.038359083644112946,0.09829536402740162,0.008190753549326538,0.011315417256011316,0.04369579719813209,0.011329438838732518,0.05051150895140665,0.0033214709371293,0.0341542750929368,0.016805402858489086,,,,0.019911928010721808,0.006211180124223602,0.006674757281553398,0.011288963774220725,0.009037669004410382,0.034887860448558204,0.02390998593530239,0.008263069139966273,0.03500299845342928,0.011235955056179775,0.0014539332721150904,0.01449982572324852
TRUE,,,,0.07104726778608172,0.312615823235923,0.3445564996426586,,,,,,,0.22895622895622897,0.06852896656116692,0.03372243839169909,0.5787409700722395,0.06985948941223036,0.154933641084824,0.032910388580491674,0.26226226226226224,0.5859000684462696,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,0.0017938368889743098,0.039190623191202006,0.05558472240451503,0.030571771454142343,0.06601276919514373,0.03667423651832017,0.009381320207607399,0.109968024468233,0.009963719066442844,0.06861128127797936,,,0.2062877041542008,,,,,,,,,,,,,0.05205464050817921,0.056671762393535705,0.06412519119896458,0.11949939442874445,0.013678663527301268,0.0469280060309084,,,,,,,,,,
RDUS,,,,,,,,0.020694024072640246,,,,,,,,,,,,,,,,,,,,,,,,0.1268822952864653,,,,,,,,,,,,
MBLY,,,,0.0036337410890127874,0.016446341209534716,0.06646695375397865,0.0,0.018762939958592132,0.030375066032752245,0.016668925328635318,,0.13757065159432655,0.0487781954887218,,,,,,,,,,,,,,,,,,,,,,,,0.030035940441553995,0.16953818172880772,0.03159266927382869,0.059983065198983915,0.006745047402222298,0.029359649236261106,0.0051439912511644864,0.03302205444069144
AMED,,,,,0.05092118730808598,,0.10348837209302325,0.008695652173913044,0.00802407221664995,0.18596491228070175,0.5694760820045558,0.0007078810759792355,0.3872113676731794,0.47,,,0.1364256480218281,0.14497041420118342,0.036458333333333336,0.0003732736095558044,0.02427675500708072,0.08168642951251646,0.09074733096085409,0.10784313725490197,0.01870503597122302,0.0023734177215189874,0.052132701421800945,0.01641684511063526,,0.49525101763907736,0.116,0.007182761372705506,0.026972804279982165,0.0017482517482517483,0.47126436781609193,0.33467202141900937,,0.6319148936170212,,,,,,
AAPL,0.019389330221000714,0.0159824193387274,0.003947121107700019,0.02137651821862348,0.007430059372841152,0.01849937960300515,0.023795305250585694,0.042377952755905515,0.10107952109449489,0.01267459969530582,0.004501087229791419,0.05261538110816017,0.03498768604775672,0.023645276653419908,0.07882770413413231,0.04482417188572539,0.02304655283542368,0.08090648901249939,0.05210259744253164,0.03236096213571133,0.05296428709572252,0.039108282632227244,0.0872245315038598,0.01922125568278248,0.01581852775636851,0.028080949158399447,0.023231935579434974,0.04385845110783226,0.01930862034000773,0.03416245331436266,0.016443315935486903,0.0687089487143166,0.032271569672100174,0.011511781502368956,0.040148060318618506,0.013772804265126483,0.07040646307181675,0.04716524024609595,0.022881242492146632,0.04784595532088695,0.03784645629031686,0.027057470390296764,0.011497597258496191,0.015030193166991883
AAP,0.01291311892175457,0.31270187035228725,0.24220464064889302,0.12612944864466163,0.05129274395329441,0.0829437490574574,0.0631946649730073,0.1573632538569425,0.0004920654447041457,0.006872545519457336,0.19317128804619005,0.08779565889697039,,0.0012749128375917156,0.03973126890905855,0.02053543307086614,0.010498243237522754,0.10606497500961169,0.02369624032092546,0.03886896321628159,,0.09355828220858896,0.007070020394289599,0.12228834709157228,,0.029379937236229847,0.15221295702373316,0.13669857447834172,,0.02410189418680601,0.17010346574053975,0.10277840524056923,0.026171485543369892,0.00568968168537598,0.014948764315852923,0.058941862804264736,0.006832675372001214,0.0081557484872402,0.003387313813744142,0.008795669824086604,0.05452694294656661,0.023541197094916103,0.013153087321885276,0.00664910702813825
ABBV,0.11238502057181791,0.11863574473784068,0.1358049654885973,,0.042243521476748314,0.00580711688405666,0.04070152217074785,0.013179571663920923,0.010840590012440022,0.03166250445950767,0.04263718910382945,0.036792554918298886,0.03700086805555555,0.12482468443197756,0.022948908204367183,,0.011128775834658187,0.017909475740801043,0.018753640069889343,0.005492107368880483,0.004585695178651042,0.008929668619178306,,0.07556519046144317,0.025936524453694067,,0.016634771087884588,0.014394062958734301,0.03251272948101088,0.05235628426293819,0.05732404355626017,0.09840817296269898,0.03510915175014607,0.04023037181333108,0.027798949015203175,0.03316918318342762,0.031866619079182174,0.06507735506248968,0.02917418986980899,0.009442870632672332,0.04505757536550654,0.12095354192062847,0.1111111111111111,0.05019677134366717
