,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.110166165118409,0.002656512884087488,0.0,0.001697792869269949,0.0017249706754985164,0.007618356611645202,0.01684075890002132,0.004658385093167702,0.0,0.0013306719893546241,0.011542012927054479,0.003972632972853675,0.020011353959693442,0.05770277626565052,0.02444922084900591,0.005651559613085534,0.006383948928408573,0.00717835450027609,,0.0053433075073470475,0.035742035742035744,0.0020713680444402597,0.01557961447055717,0.10422535211267606,0.035548172757475086,0.005714285714285714,0.07523510971786834,0.0012494793835901709,,0.006155950752393981,0.028724894908921064,,,,
ANET,,,,0.020965842167255593,0.023433034863783578,0.020164787510841282,0.06538461538461539,0.6364531138153185,0.2598528209321341,0.27157001414427157,0.2069800825408218,0.045614460754579644,0.04887377815554611,0.009986278396096965,0.06850784287437994,0.16911869732895302,0.006578160507116374,0.0018057060310581437,0.0015227322166630412,0.003995737879595098,0.0030269236896606658,0.04932653804149982,0.009665252239509665,0.0256837891927952,0.0015932023366967605,0.02557544757033248,0.00047449584816132857,0.006505576208178439,0.016962462698288047,,,,0.004690790733295041,0.008198757763975155,0.0,0.0010951979780960404,0.0007953148723881137,0.04058383766464934,0.03775830358108839,0.032715008431703205,0.007985354922198025,0.015741744139622427,0.02425772880318335,0.0019518996165911468
TRUE,,,,0.10191206444724837,0.05345687811831789,0.07758278408639721,,,,,,,0.3141216082392553,0.03632860877941379,0.13830295583316268,0.020571035431716546,0.03483079358796754,0.12608193883439123,0.0499603489294211,0.2092092092092092,0.006160164271047228,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,0.002546607726311743,0.0013746864750144704,0.0035437721485759286,0.0007729389988405915,0.017350888219921267,0.04552079449547504,0.02441579960525354,0.033690161731312854,0.2045991949603798,0.0438245134536544,,,0.028642895679042622,,,,,,,,,,,,,0.016358423745010963,0.06748198296571303,0.1476644311095423,0.10851836899475172,0.24929924879470794,0.07557482095740671,,,,,,,,,,
RDUS,,,,,,,,0.01421834307031745,,,,,,,,,,,,,,,,,,,,,,,,0.013365410318096765,,,,,,,,,,,,
MBLY,,,,0.0016643088957310477,0.007806807536171542,0.012544467328215689,0.0,0.02872670807453416,0.0018489170628631802,0.012061254912589782,,0.01676442358963421,0.0037593984962406013,,,,,,,,,,,,,,,,,,,,,,,,0.00556221119288037,0.16387298154201588,0.05248830611149452,0.10096528365791702,0.007798430119949709,0.006376346728403844,0.007290696261492972,0.30292072322670377
AMED,,,,,0.01023541453428864,,0.019767441860465116,0.0031620553359683794,0.003009027081243731,0.07543859649122807,0.002277904328018223,0.9450212364322794,0.014209591474245116,0.02,,,0.0,0.07100591715976332,0.009375,0.4165733482642777,0.010115314586283633,0.038866930171278,0.0,0.0024509803921568627,0.0,0.05933544303797468,0.004739336492890996,0.0014275517487508922,,0.0067842605156037995,0.108,0.008978451715881883,0.04413731609451627,0.0026223776223776225,0.28735632183908044,0.0013386880856760374,,0.01276595744680851,,,,,,
AAPL,0.006287413877489553,0.0092897812406353,0.0002506108639809536,0.013765182186234818,0.011389859112289872,0.0009801976386417006,0.0063729768631234016,0.03146456692913386,0.024318553642237197,0.0131590101556653,0.0077671872725749045,0.014490316991713305,0.03125908249583161,0.0029611841790264186,0.04165910053870831,0.02300435545890257,0.02979233614330631,0.02923127920702424,0.05634161662574073,0.006572444107935306,0.036061026352288486,0.0619237803740062,0.011858219820167413,0.013335355483095189,0.01733155486287481,0.0012886783487638766,0.004807303870081603,0.02508444401087712,0.004814480365184984,0.02001575243273457,0.011460243569850002,0.0029933423295136845,0.028349467606762036,0.016820774043519185,0.005685273014714824,0.03370310721128481,0.012590251937727347,0.040426673473777264,0.055092649735497566,0.00398765622101994,0.019178876940061314,0.01364517784832988,0.010550817809614199,0.04290547171771987
AAP,0.09309551672652436,0.029294674378427102,0.011501894820823083,0.0004609994468006638,0.08924103419516263,0.09474438244608656,0.07065735154017148,0.11725105189340813,0.20949686308279,0.11504819707247411,0.009694204861358614,0.062310291506786554,,0.054717177499089345,0.06326748531767218,0.38784251968503936,0.10896160521525632,0.04051326412918108,0.02248344061946077,0.22495620985903744,,0.03016359918200409,0.0760027192386132,0.014398157035899405,,0.006222270317065253,0.002116741500962155,0.02300117071827009,,0.011822338340953625,0.022357282396353376,0.008809577592048791,0.29611166500498504,0.025219129632477317,0.2581072935503315,0.03379601689800845,0.023534770725781962,0.056827150749802685,0.007795461927520765,0.007942578102018004,0.0028281609412119614,0.02804908590032557,0.009572524662038728,0.0003212128999100604
ABBV,0.05449566288424749,0.06908327939108502,0.012296224239410219,,0.029818956336528223,0.001374893717097527,0.03209794837855725,0.010616877173714076,0.020703749777856762,0.03540849090260435,0.008685353335965259,0.02737798939508711,0.021086516203703703,0.039738195418419824,0.04022683909264363,,0.011022787493375728,0.02591989579941387,0.008076101727819841,0.06877864261293373,0.050060505700273865,0.01441854749518699,,0.019768762258697222,0.0022892819979188346,,0.02183620393542372,0.018797912249225248,0.016022796281590135,0.011064728662676658,0.008093787809253619,0.014350201948206225,0.06676581505284963,0.012958414499872957,0.07376950539532272,0.004476822270155875,0.09427420588385255,0.05968177063260475,0.0074598498527036015,0.05143216871262197,0.005757536550653384,0.04374915346065285,0.00978280380542093,0.09750220865793913
