,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,2.237163598758964,1.0419625898099527,2.3138351751771467,1.341358695102857,2.0063215429163623,2.7137275403718055,1.923694213075009,1.7068836833613634,1.600605686285509,3.2125222800004476,2.0854971128643065,3.147269089790358,2.9114426988817446,1.9029740579002514,2.322600172413741,0.773798238453512,0.5103298093485322,0.9154824267662257,,0.8211799264386258,-0.2742459289716297,0.7706341869113581,0.21146135088725201,1.212289318329555,0.47301986151047853,0.6320465508063328,0.9151488092680927,1.4708305666881687,,1.794617407367917,1.334179338072541,,,,
ANET,,,,2.5981006539029936,0.17654729866456326,0.7444900858199585,0.9304351751026569,0.6773456369541369,1.4654329101861023,2.1176967417118187,2.325449859076968,1.0525909025729712,2.05206868983009,1.158594869406155,2.629020048696915,1.9315531998295945,1.3399053961806002,1.4110265156175639,2.5588265554192167,1.931636713539779,1.5120061476609858,1.6885619421735967,1.082749286431078,1.4747425548225521,1.0654365716106096,1.040326363934452,0.9031162877917681,0.9595037621094964,0.687694558683509,,,,1.5956226269425176,1.6197230026921121,1.4086446077414319,1.1323127357525231,1.3128203710440434,1.0518464313061857,1.3481832137478387,1.5366185483775787,1.9248156874849425,2.5860210387947546,2.261125720768093,1.9181145489765048
TRUE,,,,1.2825819045556448,0.8956461044766282,0.12256365436828501,,,,,,,0.7375984182933177,2.1789176439838625,2.574131829314319,2.662676928283561,0.7790227422647773,0.8705445883699697,1.4694464830364375,1.3824118009611719,1.0877483928523082,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,1.0352441079755828,0.5570335066106541,0.7067765771918526,0.3187611896527659,1.4014221697660576,0.47447153473271475,3.714445699756088,1.669219942362189,2.0284765874381834,-0.3704512818386951,,,-0.3917652095758919,,,,,,,,,,,,,0.4536127048443416,2.6718338385888205,1.0098873581846992,1.1553895679364699,1.5876120316068438,1.0083877677196207,,,,,,,,,,
RDUS,,,,,,,,2.394073391348838,,,,,,,,,,,,,,,,,,,,,,,,1.595190547922352,,,,,,,,,,,,
MBLY,,,,1.4350885133569755,0.6995018839681371,0.9455862055494697,1.024468238324004,1.4693576543442766,1.1758576677802295,2.017584282779043,,1.481303685646881,1.8539360267842455,,,,,,,,,,,,,,,,,,,,,,,,1.1270997184414442,1.9876032803654928,1.0566621642812108,0.6506032161213647,2.2951862816790216,2.1889509588947007,1.1101844984230937,3.5379470417317354
AMED,,,,,0.7842598074754829,,0.7461011388436058,0.7081597907457792,1.3617553749428803,1.8290389697241907,1.1867056203200943,1.027909240909192,1.675730188225622,1.075129900428562,,,0.5623996740346972,0.4846643718980068,0.3086467587842548,0.7837084008034703,1.3855100404666634,1.5651715416943,0.4553212101256605,1.0414222520751244,1.1181047845081367,0.8715355791508359,0.4143466545290055,0.8221197150687831,,1.4125047994531528,0.9438300735678813,1.1372425576691618,1.644867325305619,1.3826288024302629,0.5109823182001534,1.013631796364335,,0.601979055997647,,,,,,
AAPL,0.6799272552625785,0.6472022350346365,1.2940075575812686,0.7970139648304477,1.4032394613676664,1.0298833943636658,1.1862317903720088,0.9800146376531045,1.101791840557454,1.1627490188488767,0.8145946701777576,0.7324334660225508,0.7300100196497395,1.1162704962337078,1.8331114732411198,1.7508250282428264,1.172707017580782,1.0790447284035813,1.2825315901995045,1.279289805109533,1.5274717797755868,1.1332204351018589,1.5623648659019305,1.356858402641295,1.7652372658828144,1.032294992698804,0.9454372177541039,1.7139377393696968,1.3454387907315137,1.5881457028878259,1.2109789449024242,1.312308756041506,1.1044049617398435,1.2640168693216076,1.1652860317044846,1.1550275446808602,1.421500733212902,1.019875673428242,1.0666874633927794,1.0195166517255594,1.2815116648415128,0.909237961448942,1.417182405614797,1.1306858334290855
AAP,1.2068380224414084,1.2849323387084386,1.0412586764703116,0.9812976043421341,0.6367295887692022,0.8201155953445108,1.0806118733906485,1.1004385358113495,0.7954798529103547,1.133611025070645,0.6012338150389835,0.7022125269675531,,0.5421945949588155,0.8250152757279381,-0.6867567750864223,0.9182188475417641,1.2083364465717068,0.7166167893191451,0.6768402478335296,,0.7669073459688444,0.9131311268740211,0.7628489016152659,,1.1757779696511328,0.8636954280670597,0.6911329646978831,,0.30857957346261783,1.0863308489421186,0.8186309424849137,0.7154822765001082,0.7728625478910557,0.9147257971762807,0.8362477188267493,0.5910785750637102,1.3863532536466725,1.4102079170922859,1.0620652076193775,0.801312480626956,0.7376953061012134,0.7210123748547157,0.5762324401149215
ABBV,1.1209019908906017,1.958839499355303,1.1308886484658567,,1.0009965689739793,0.8610848708508029,1.2086899838765046,0.8980124873727241,0.9622794829391146,1.13619662551639,0.8408602746264299,0.7974598869201256,0.23027012936720195,0.7680512047908367,0.5713434365191473,,1.252555155328746,1.24237153991307,1.7922066294631005,0.9083248934870986,0.9188045021344858,0.9103755642075243,,0.7502492602971452,0.9613913926319204,,0.5855931223206743,0.6793771486081723,1.0210530577998895,0.6643110228278445,0.6420386265301178,0.6032870949912911,0.25841593639527166,0.1599836846948933,0.4267533000277861,0.6448304786967652,0.30476475249390333,0.4195789391959472,-0.2280570642196976,0.4010181268569122,0.311540788484579,0.7615271231656944,-0.3732205641500754,0.18964906915891092
ABT,,0.648240184745982,0.9358693101958319,0.979016909591214,0.9117187104054564,0.9824022055531186,1.0005796215401903,1.223808954069142,1.1023856005353747,1.0979746226356275,1.2736611294584739,1.311608860793567,1.2184158531579237,0.8693535975618304,,0.8483533751492855,1.0634785149347514,1.110648867010236,1.1224891433177626,0.9698039276350684,,0.8510772154554116,0.9270294836508984,1.2596538440157157,0.7971665424959318,0.9074661757336243,0.7237422457043952,0.8886567761483413,0.4855601789680202,0.8517078784534492,0.21143211802808326,0.512821902021752,0.5213905187635137,0.9339340122789623,0.8892399413530214,0.8140280665400709,0.8396114992825967,0.9405739211098892,0.5554232065993352,0.5821054688017968,0.4781745804095699,0.583040700561412,-0.4440530576045017,0.2058647191348208
ADSK,1.4523692219178537,2.1142179656701856,1.5427880556265987,1.1291715863902816,1.2024914624034961,1.436449853998746,0.8369301541469512,0.6209933516457024,1.77518790370507,1.3710513142198357,1.890192034042331,1.6631380547810577,2.125494476145253,1.7901882186061429,1.8860379447944589,1.2632695800263378,,1.429784821929792,2.3165621321539756,2.095642939798989,1.8005102214486368,2.2496662458273624,1.1592249668913832,1.4700930860872314,1.176869829260315,1.5726574168734928,1.1759214784524972,1.0294445525802651,,1.5612355011327832,1.1736588688834357,1.533774879319471,2.0729062991778187,1.4192018145998249,1.7873936483622204,1.5926120461735038,1.6705243604815845,1.421393377970637,1.5928112961273433,1.5143688256323375,1.4614910846924527,1.3657363218400675,1.1758040573429231,1.4880027703268992
TAP,0.9183195857849787,0.9980839770545863,1.0451542438646069,1.299466338853721,,0.8466954194099867,0.7013384652135394,0.6577508532901396,0.6549968629998025,0.7434544743915972,1.1084655882773553,1.4914307760658656,0.78075523600706,0.5589216308238467,0.6152451368117813,0.46598563357277895,0.7569540177355641,0.7310698522579572,0.22260491119684067,0.06964024913466522,,1.0543049229880337,0.5461327597361302,0.008844155192992932,0.6483217487939713,0.8371263228140935,1.2025766707884489,0.5201484240369152,-0.2605052002899655,0.4415646289970694,0.9903174936659319,0.720101080225287,0.13054433720671962,0.3839599275683917,0.5415272917529912,0.6500477618758942,,0.4803202905621128,0.5672736253773109,0.5408673963382196,0.48204027021603246,0.1813638805938257,0.13854832535485967,0.4530603485705707
ACAD,1.960627414320822,4.30388300657185,,1.5244935015495393,1.1260784719223609,-0.5141616540932874,2.285196059475518,2.509393674211434,2.3156397562250746,3.807919613033015,,1.7585568243873204,,,2.5936811325046287,,,,,,,,,0.23052761594495383,,,,,,,,,1.4462963129288797,,0.8619414132155785,,,,,,0.595522761608796,,,
ACN,1.0475057558714258,0.9110435418881192,0.8835065057831559,0.8756028787663765,1.4325996573410764,1.0272130807295232,0.9543773215140473,1.1979380300776812,1.1115868367610253,1.1591425264762787,0.9618585482570017,0.8004401977620479,0.8025801243051477,0.7948006087973872,1.01308159414733,0.7940571082430243,0.9096886619025228,1.2257592784115048,1.1097632938944273,0.9388673219156274,0.9044399082870948,0.7517661479637092,1.0562702735152507,0.7725702313699925,,,0.9559305932504858,1.0996738061815234,1.1986797012298598,1.0437324156241148,0.8847937452389365,1.1171091396374127,1.1985750225767273,1.2200727289924562,1.076007423314269,,1.2481716975966848,1.1248052900137855,0.9004364234880938,0.9499518422491587,1.366514397002116,,0.4947323269172901,0.9705491670353024
ADBE,1.2522614267716747,1.8640138551802876,1.2760485873629848,1.1349252100011176,1.1817227870489635,1.3349514993477316,1.1583308752342982,1.0829421357070566,1.7965945352723043,1.3906840436237815,1.1111260987227631,,1.0078408163757133,1.3452194934305575,1.4410224021692757,,1.0543286462714765,1.1961374525191741,1.8582523267206914,,1.1848517892987944,1.668042294235987,1.1410030940476446,1.0311917456905635,1.1487025270216547,0.8459527621026294,1.8436162662727127,1.093157371247665,1.4240499868664842,1.2703063103350083,1.0979802970596848,1.9049123459819004,1.6546055609290227,1.331455373864691,1.495105544163051,,1.6907952629488443,2.242931930785757,1.8477057722702714,1.426163033891881,1.471923897907836,1.0863538792094607,1.0573543330929678,1.4209291186438413
ADM,1.145691517089001,0.4737180525411845,0.9298213427055364,0.8795599237827028,1.1054743036193762,0.9924053341607186,0.9896071721551253,1.186411969650776,1.0937635657223588,1.5217350526797773,1.6099827672813098,1.2491388617230041,,0.9848952323396863,1.1401708982100562,0.6138840995562849,,0.6148912788061834,0.48660805003751506,0.7285209292288842,0.7276955859395712,0.5231830269539809,0.5613619602852887,1.2005145372087056,0.8967287348417411,,0.9539937673359641,0.6701845471711694,1.0009860245376287,0.7770346975129665,,0.8358798775668352,0.6217387802468075,0.017308729841275572,,0.9000805492291741,0.4792804860872119,0.9757621494341362,0.45731043143000394,0.62631939960803,,0.33285794719962425,0.054874005550043486,0.5149830338266783
