,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,1.9044271328139843,0.993468667255075,29.1875,1.843693421846711,0.7992551210428306,1.5104735883424407,1.2618129218900676,1.240899357601713,2.6974744760881246,4.292253521126761,1.2668759811616954,1.4452239611440907,1.4541971438523162,0.975268817204301,1.3438287153652393,0.8094395280235989,1.3759479956663054,1.851968503937008,,0.4128793598067341,1.9383561643835616,1.057934508816121,0.12207407407407407,1.2756410256410255,0.4812992125984252,2.091872791519435,3.354948805460751,0.10188159706287288,,0.11773700305810397,1.9860529986053,,,,
ANET,,,,0.6706021251475797,0.2863094265642869,0.47915330339961515,0.37426306159788575,0.34343070080538524,0.9866796621182586,0.4519938387814479,0.31175709073790747,0.30097853535353536,0.6133013369900583,0.26013448607108547,2.454840203798055,0.7146705853539065,0.610362095531587,1.467914438502674,0.806286836935167,1.7745750184774576,1.030077619663648,0.7884114583333334,1.296697347049269,1.471558120362737,1.076074972436604,1.3661119515885023,0.8318122555410691,0.8583765112262521,0.9235649546827794,,,,1.1322718922229027,1.514053716427233,0.8199889563776919,1.795572303344324,0.5168896687870147,0.5669393826701375,0.7053505535055351,1.4283374283374284,1.0364442730428076,0.6438214888430527,0.7550362610797744,0.7487504571498232
TRUE,,,,0.7035383597883598,4.425367362722351,7.367441860465116,,,,,,,2.173475801382778,0.8792345487457978,0.5881396357328708,2.3459944751381214,9.035749751737836,0.9526760563380282,0.6218649517684888,1.2860411899313502,3.2970588235294116,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,1.1598920676652713,1.6366526770952563,1.4996719160104988,1.625106791969244,1.2208426698012709,1.6164420007094715,0.4092579238350331,1.855498213576816,0.8234209920021064,0.6563378083047143,,,2.5299515235457064,,,,,,,,,,,,,2.4032906064664243,1.7551143200962696,1.521210323346188,1.3084808946877913,0.668038152234898,2.7053072625698324,,,,,,,,,,
RDUS,,,,,,,,2.4838155958803334,,,,,,,,,,,,,,,,,,,,,,,,1.025812274368231,,,,,,,,,,,,
MBLY,,,,1.2310167708397797,3.0915672913117547,1.3215010141987829,2.944480731548008,0.8386866523911491,1.529058116232465,1.1469304626127437,,1.8475554205891285,1.7679500520291362,,,,,,,,,,,,,,,,,,,,,,,,0.12782898229020895,0.4089516059215652,0.565875183862156,0.3413747671618736,0.8994417013586342,0.7879243363241143,1.1564328762337321,0.57428839537066
AMED,,,,,2.300675675675676,,2.15018315018315,1.9834905660377358,1.9761194029850746,1.043010752688172,3.102803738317757,0.01826045170591062,2.37125748502994,1.9411764705882353,,,0.5334728033472803,4.044776119402985,0.5262321144674086,0.3578307146477446,1.7279249448123621,1.2895927601809956,1.5429864253393666,6.285714285714286,1.6526717557251909,0.7058029689608637,1.971830985915493,1.0452554744525548,,26.296296296296298,0.6666666666666666,1.1464668094218415,1.1453849832615972,1.439232409381663,1.4857142857142858,2.7537688442211055,,3.392523364485981,,,,,,
AAPL,2.109459143057832,1.84,0.5852410984754433,0.27860026917900405,1.918725706308957,1.5925567647453984,1.5480090204677222,1.0189816066006392,1.7102967446539135,1.233593187879706,1.2422734959896353,1.4325294774127808,1.1930992837613432,1.139262049023393,1.049847232346418,1.2817125907856073,1.481742241384253,1.6435975805245047,1.3195202967068798,1.157582266322803,1.108113460306366,1.000391999477334,0.7564778635492445,1.0307770151355156,1.2926398289060157,0.729680592740178,1.4028732749834172,1.9332107689721405,2.4021029885087395,2.1714913075884854,2.2919269079848616,1.786992883486572,1.251431740922099,1.0780038329668018,0.9310182874922946,0.811528227003154,1.0699232927235989,1.2902993558165972,1.1970643729613701,1.1277630137158834,1.387235144951002,1.7193816884661117,1.8682598242139636,1.3337981582156113
AAP,0.13695173426316756,2.9063967136150235,4.143980848153215,0.3635906462157405,0.25582613249541764,0.7534210352350103,0.3754094780519764,0.8529106029106029,0.5926724137931034,0.5078393109481193,1.8531624974577994,2.142163037610221,,0.9281593337681232,1.1936365410892056,0.35683760683760685,0.8409445137157108,0.7498948784795223,1.2714558169103625,0.6800728699551569,,0.7530023301666965,1.9059660213354406,0.9957854406130269,,4.897255902999362,1.8120490620490621,3.5850963056520366,,0.7921104998244176,0.7673913043478261,1.0125776632823156,0.9773287333661902,0.8302842668167746,0.32170172084130016,0.4383680555555556,0.4020223523150612,0.7786616752456715,1.0722115384615385,1.3379642365887208,0.8428769979152189,1.2201834862385321,0.7973469923824533,0.8160181998483346
ABBV,1.5149278323337507,2.2523411978221417,1.9364669255704978,,0.6737967914438503,0.2795305664220736,0.5706860706860707,1.2135332252836304,2.173716864072194,1.1130795326045986,1.5629005059021923,1.5979758223221816,1.2425176413334416,2.5546323223930205,0.7504406716764078,,0.7940673131774102,2.3636363636363638,1.301608579088472,0.4148098595173159,1.2758370778373678,0.7903344089175711,,1.2013407567321894,1.9819253742921419,,1.4292525926808917,1.4664588152469074,2.0429282160625446,2.059393752885059,1.2489209983111278,1.6666244298023314,1.4850844772967264,2.686807181889149,0.5356042872982629,0.8947409006785935,1.008499743983615,1.9731543624161074,1.1185826454600363,1.774187914774712,2.2952462161586014,3.0421571311251028,1.558438576349024,1.3990366088631985
