,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,-0.6433901839582816,-4.601518358151919,,-8.453823034708517,0.7050227975974686,-0.6299167603094356,-30.48712886862065,5.730127185439291,0.2558968083586626,1.7464711246243207,1.5163511914371424,-4.025145979084749,-0.10268362913494844,0.34715938605323293,3.2222237853696587,-4.6615942853740115,0.409975912401503,-2.377313206169389,,-1.2328326875201903,-3.745680391608997,-3.1722365823203127,-3.8743839369817987,0.5558914699756947,-10.253533327093285,,,3.957219100816971,,-95.55184868170937,,,,,
ANET,,,,-1.2350728196621112,5.226557889791344,-16.58623903903495,-1.4384077395222565,1.5707860327978764,-2.9859923193732367,3.7640163220519334,4.797337981902071,-17.196380974921627,-31.53359273513418,-15.635971968856818,-10.383397458950649,-2.570321593919921,-6.9628464875973775,-0.5900916685180793,-0.2774413727890428,1.2017359726907726,-4.110755741688228,0.15526995700538393,-3.9694662146304536,-5.684150960203189,-3.811165009151145,-6.340097677982895,-19.235193031843494,-3.081501105851906,-8.397717206764774,,,,-5.169006534480073,-0.3197265929301354,-4.157478448355156,-2.4778369946424386,-12.520900323594786,-0.8541038245027046,0.9688537012705627,1.3617122021784729,-8.714221618796536,0.3468830624429433,0.7453804558628949,-0.11374499838632879
TRUE,,,,13.712550388937046,-21.280903291202467,6.973417632463168,,,,,,,-20.51008655303943,-81.12176848699204,-1.5092347242926039,1.3190246986861727,5.59928218435736,-9.950731672072159,-12.077838622668331,5.095881794833479,-136121.14532817103,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,-0.495865679081108,,2.66240426834669,2.35409089167236,-0.1997425576308407,-6.692738432013177,-3.648370191511713,-13.334936427705944,-0.46367641630187784,-3.5307457678934817,,,6.181944630200863,,,,,,,,,,,,,,-12.07929081644312,,,-31.883122497308918,-13.024894535781112,,,,,,,,,,
RDUS,,,,,,,,-165.25508478263507,,,,,,,,,,,,,,,,,,,,,,,,257.65202487430275,,,,,,,,,,,,
MBLY,,,,-4.910917288114769,-0.25175512353022267,-7.266499928030323,-2.1151907804962082,-1.658905980062297,-3.9843088551614647,-0.9765582015051963,,-4.982748478299362,-10.0953075659991,,,,,,,,,,,,,,,,,,,,,,,,-6.678653943428877,-0.6051541942459657,-4.741558838846071,8.604352751942404,2.272588454187426,-5.498086681003642,,-23.636112373434564
AMED,,,,,-29.2703241392473,,-2.537283875664791,-1.479398011604987,-4.973603735279987,-18.75998807284044,13.360352687594746,-3.3247493711092115,-7.501383018593241,-10.723226489186676,,,0.39790159099984734,4.160824225633476,-9.892409847607135,0.42156754535926844,-1.08401560229823,-1.7534791315030596,-16.76466612562978,-5.526033599367361,,1.5452986763338643,-4.3916944996074925,-20.680922849971385,,0.33907060991884563,-5.243806620134098,-1.8861004413960671,-7.1466760568996435,-2.2609640766164176,-5.449431978998062,-3.171999184915677,,-3.5658236405635186,,,,,,
AAPL,,0.037834204315773334,-3.46339749824302,0.3657593589903039,-2.2722529607520876,-1.4227962034749684,-2.5320220518679672,-2.6961126656007224,-0.3912013107946155,-0.24434829716415862,-0.6859755524083209,-1.7459607277281322,-7.946156619133256,-15.757376113303739,-10.372038653417214,-2.6041907045457044,-0.5778943127021403,0.6277640320325641,0.30338884117524056,-2.2643330701321975,-0.6422582977942071,-0.3257295972124137,-4.830399493362132,-1.2379888905469496,-1.6194197238917276,-4.513546241655215,-3.285786732699375,-2.3677339763010945,1.3609399166382676,0.12333246518442564,-0.6297181456089866,-50.564511638369524,-1.8383019196049908,3.2830133050933927,-7.323729293004924,0.04380142131370057,-19.196090813283917,-35.544483702521646,-68.97096185388314,1.502550226628749,-94.05814081078087,3.0336585081270258,3.8415332057170843,-83.39696738241722
AAP,-1.2332844454009617,-2.3745379661509016,-7.590950566722238,-4.883267553306791,-0.12305706071248856,-16.235713808137273,-15.140832175036586,-28.87250610793611,-6.035645005165225,9.293462806824941,-23.094048866847658,-5.240764699951658,,5.753225831198138,1.3426122706092745,2.570331676662641,1.7156269496965262,-1.9750273974076027,3.0875937589326155,0.5877872664821098,,0.07935612707911055,3.729783430843435,1.708232240977967,,-6.4444319221496045,-4.4231727474798515,-3.9719613170054124,,0.35213073444127474,-12.201038728747143,-35.39245779300812,-4.772659368037974,0.15111480944342937,-18.36321865552681,-8.420392074210971,,3.5591501739630473,0.8078428352556055,-2.376540492010151,1.1885261718866804,0.654678682008341,1.3903025024523545,-1.0857282215690924
ABBV,-17.51206534228195,-3.4775449829224314,-2.3473119729097167,,-33.31513111839308,-2.856104043140385,-148.31824615009353,-3.220333171699603,-27.426096060848366,-16.289938352057046,-44.41260324511976,-86.42484932759996,-41.95926152971723,-16.097084133214075,-109.6148532380473,,-27.679416416117046,-4.27664939483335,-13.14305693635852,-10.615268221996631,-14.044009890295413,-1.9521255692696524,,-10.253699207645008,-1.9540631802149129,,-23.50774539724626,-10.35683670007002,-33.39937400463888,-37.19127467543616,-58.187080182732885,-65.28819073616683,3.718598872446808,-62.50759831968648,2.431093234384896,0.4656262487473626,-30.85355319682821,-48.12324322300336,-9.76175999697719,-13.376840536268716,-47.02755359131946,-20.78114626135853,-28.04374236451671,-14.082210640692267
