,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.09241890702112192,0.07967617032082135,0.08115353718446318,0.07673591642837671,0.08099084265770523,0.11071899377347724,0.022539758136354057,0.09519490488629481,0.08739871740652208,0.09616688576355684,0.12191698272974011,0.09463701234763376,0.1037350958993295,0.11189663770541629,0.09825387987426257,0.1292653589605045,0.11244618367491181,0.10096801754319341,,0.0830896308333368,0.08346796903814177,0.09500529691180022,0.08523726682549819,0.10171798158283603,0.11287215130362743,0.08331241123227366,0.09867352129621142,0.10027063066068803,,0.07911692465006405,0.06855006664400366,,,,
ANET,,,,0.09621659078920672,0.09311053633435432,0.08225535103877828,0.08474828359410781,0.12508516308445622,0.13375440237909447,0.10211685472178883,0.10027848830030382,0.083114863974945,0.06702694426175958,0.07740659223020471,0.12169652303734499,0.11612003963259084,0.10189997844074136,0.10839910672887344,0.10614648941281175,0.10306502653752615,0.09610605118463927,0.087020138654003,0.11206848425236506,0.0998308928283579,0.12089748255505357,0.10222535988433026,0.09221522798693757,0.09804691637437973,0.10714494410090379,,,,0.13627446501637358,0.11640103354566922,0.09716727054488632,0.09589534695241692,0.08820929109245093,0.085850168146925,0.0995625936407601,0.10433950703739243,0.1607117185798495,0.10244847445304531,0.11418847233197975,0.10051003301187161
TRUE,,,,0.11536945570571915,0.11700853547178695,0.12325784661669632,,,,,,,0.10999505097672863,0.10035930220225898,0.11207496217664975,0.13762751067754908,0.21678439140694272,0.1530730244895574,0.17146388206875268,0.15287403104686692,0.15306516442663262,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,0.14088524865098115,0.14104274463714458,0.11798577228133379,0.15668409500631375,0.17289976950899133,0.2018108626736034,0.18428394994500302,0.15686684300878154,0.18571953327252813,0.16505757780037486,,,0.15654509865450214,,,,,,,,,,,,,0.1902298192359454,0.14716601366740842,0.10778211551197568,0.11987025287028734,0.17058855938817824,0.14111270934521528,,,,,,,,,,
RDUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBLY,,,,0.10330465117274713,0.10846946480102349,0.0712576654944483,0.06077383992286743,0.10171933662512453,0.12078607988146468,0.09000630197466097,,0.1252301148213546,0.07372894698217544,,,,,,,,,,,,,,,,,,,,,,,,0.12526883580602688,0.12980597957328302,0.11210847193735568,0.1326511544690462,0.08059078268989593,0.1371482068723057,0.1606717889144031,0.1993759628997254
AMED,,,,,0.10085539484627279,,0.05853843745542524,0.10322627982134454,0.11218248281446176,0.10303971119545172,0.07282804103254273,0.0917891287980479,0.08876832325012118,0.08138756018789473,,,0.07579542932003283,0.08418012108985831,0.09536493511449708,0.16429866391581777,0.0872193007258767,0.09315025348400886,0.07162226871618395,0.08121974337165032,0.07372257522201311,0.0764127207332301,0.0702452943392569,0.11329915177938166,,0.04028380606620005,0.06005993758277684,0.10472684550246911,0.16732341019281727,0.10082080262292598,0.07692987551278373,0.09655553285954478,,0.09439331804123616,,,,,,
AAPL,,,,,0.07783347858505921,0.061387505865568744,0.054627149603307064,0.07716083441662222,0.06602249031355588,0.057447339142295425,0.048188519158079736,0.05212800037770971,0.04328016914902579,0.04118135292294597,0.04209302290655267,0.05098308674929636,0.04968979515205011,0.05153283942388666,0.05527232445972461,0.060748214856450745,0.06571351905362681,0.061886797992672216,0.05128030115455328,0.05807484252038953,0.05367355425011265,0.053517372329746085,0.04393027223694974,0.058311789395694716,0.078479902388578,0.044617066561790646,0.044894174602867286,0.03368667499295708,0.058256752502492556,0.05996631400795821,0.043299157397230226,0.06519481886216293,0.05314525759109573,0.05090342147466129,0.043661546438314734,0.044565408036903176,0.04302550592230864,0.04552315050262653,0.049132238753610384,0.045866088148579315
AAP,0.06682192243967658,0.053620401669824444,0.05931330719312171,0.05707403341762919,0.07094230995123006,0.06989298945282967,0.06623607073567267,0.06425727881968436,0.11373215590578334,0.08260844760560458,0.06540767123509753,0.08348443048009015,,0.08811052854218526,0.10844384028241058,0.12195144969411897,0.12212626621179416,0.10460707016189727,0.11186311014099176,0.10305650657564293,,0.0885017220785321,0.0889724432692254,0.0863080396841072,,0.11624717547222405,0.08566072657748544,0.07865931819648009,,0.052318795685199926,0.0476486434664197,0.07652728972705597,0.10053264392252702,0.12742581692617563,0.06158571524048608,0.08505555619398496,0.10130115255212913,0.09352010472843515,0.16041991102960257,0.1433487131176863,0.18717686853083387,0.13876738631899524,0.14814446704294343,0.1868831942634828
ABBV,0.034551943879673606,0.030569237086621112,0.03066416564226154,,0.03382645362308967,0.040850817849173986,0.03114781557024124,0.03669681608609301,0.05158748733446158,0.04237294780906671,0.03252632639344571,0.031117884547499794,0.028794448069317677,0.031977550336003385,0.03270460571781836,,0.03718091456725881,0.05596002285007963,0.05295710178314844,0.0597457643391262,0.0569150334654287,0.0455788134296647,,0.038014836588778037,0.042030569574421285,,0.04198674110787126,0.035816854069895085,0.043203579340299725,0.0331799083484724,0.025376280036441934,0.027682149944601983,0.03932713136962501,0.04089200955317762,0.03453283581218838,0.04000669463366826,0.040579375038781784,0.032676907305726935,0.043110207932097286,0.045468515705447764,0.04071885695310326,0.05211267500301803,0.046159779858706236,0.03997946622597783
