,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,-0.07919555578984472,-0.4849097990122342,,-1.2746920914443018,0.426722294558433,0.03951644226172446,-2.816750067814777,0.44282352696540084,0.07678287739773104,0.3582032355776168,0.3800651971301736,-0.5741069395115099,0.14218232747050763,0.14130498375220557,0.98358790809172,-0.6248007927728079,0.25923255587271754,-0.3846023496016713,,-0.007763116193548747,-0.3165475835152023,-0.5844819904900156,-0.6539933203465922,0.2754732209283408,-2.1419522888598577,,,0.44179787161515005,,-9.811773145228162,,,,,
ANET,,,,-0.23138673958088063,0.88030095471923,-2.331750363490983,-0.20927097955330476,0.5541991599885381,-0.36372663436282027,0.9482686842967314,0.7046525044613485,-2.091426523642307,-2.9601205480773265,-0.8503177772758557,-1.228422384099002,-0.289351587420529,-0.9933737606519086,-0.07426568656430588,-0.01172243147618346,-0.03352504371056986,-0.5631233447095116,0.18651446593887266,-0.5416252968751221,-0.853814705983599,-0.6128109118315452,-0.7398901478024777,-2.1055108979213077,-0.31220720350404907,-0.3768804815638065,,,,-0.6752322661961405,-0.06766810003718282,-0.6433305338727986,-0.3430702492872797,-1.1080676522025974,0.02319572367780598,0.35655372106917316,0.18676851839684572,-0.6562468908248369,0.1075558567885837,0.12356006982093382,0.015365486400412909
TRUE,,,,1.8798382247695908,-3.629710561079408,1.2264003117739861,,,,,,,-1.6771500174434584,-5.212272713807947,-0.3858709791117798,0.45346877038226907,-0.03762561583774637,-0.47509570959723657,-0.9595742266541274,0.8629814038880324,-2657.9081618848627,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,0.04573701071561276,,0.5439457117375719,0.2078177550397431,0.020291348174007684,-0.6332589254366883,0.7759130634923324,-1.3392134729272627,0.2388440319456273,0.337648118718445,,,1.2747020331210828,,,,,,,,,,,,,,-1.5690271997663885,,,-1.9506191910044492,-1.4263866826528462,,,,,,,,,,
RDUS,,,,,,,,-15.174007455368487,,,,,,,,,,,,,,,,,,,,,,,,23.09392708219012,,,,,,,,,,,,
MBLY,,,,-0.5470286606620336,-0.07819418745211326,-0.7274692134557199,-0.3637412345402873,-0.28703218128071173,-0.7136957008703333,-0.059496495863951004,,-0.6403910672534145,-1.3078797933622002,,,,,,,,,,,,,,,,,,,,,,,,-1.14444752325335,-0.35740833485721657,-0.27964552187575276,0.8558980298427024,0.5547899946501946,-0.6839337864421813,,-1.7878777581198602
AMED,,,,,-1.2914453048683736,,-0.4333208274816913,-0.22781717289288883,-0.5747363351082306,-2.4944255379015137,1.1515820933112666,-1.0413919272279215,-0.6084371579511161,-1.1089777607088616,,,0.10376971418640757,-0.06916597696471793,-1.1956950974399274,0.017521399921164527,-0.10785513062227725,-0.6337687390342088,-2.117646531153532,-0.6850121144889076,,0.7912417507523464,-0.43758808403515603,-2.6419379961109195,,-0.03966424854983863,-0.6051684539037776,-0.9408307732891954,-1.0988089186497736,-0.30933304417354446,-0.7053881444769967,-0.36211997540915464,,-0.2614376368115119,,,,,,
AAPL,,0.007250710444373087,-0.8294523351214758,0.23884523106831068,-0.31147356082843247,-0.22022701543090095,-0.3657928424594119,-0.22711534452739768,-0.15577300898931457,-0.044037834042974566,-0.04616277836999805,0.0037912352103752767,-0.7002371889520314,-0.8667717776697148,-0.806255672365817,-0.24684735024174254,-0.11779673960383219,0.12478780776202303,0.054215428562272905,-0.3566100506053238,0.019873683059446368,-0.04238608073119465,-0.5331044530916138,-0.006902165173022556,-0.122658103461315,0.18668346193699215,0.014661024154325908,-0.030092323624357764,0.3183550276231064,0.32976648562103517,0.1487425754822551,-1.8399700932577363,-0.138720492231176,0.4159804800786904,-0.24278734783787614,0.24196699775286712,-0.6378836257202463,-0.49722215493965294,-1.395100236542862,0.21903349984264864,-1.943670599395321,-0.07479262613234594,0.36102501543884724,-2.6882921166419083
AAP,-0.37626595670621965,-0.5593759172375217,-0.5484380702977099,-0.011150675895344353,0.190602474744189,-1.1850141530232383,-0.59735447289078,-1.7081794091957647,-0.5491056549063709,0.7135741059368854,-1.7318822798616802,-1.3943286816408413,,0.8912925097004187,0.11925559755212545,0.4741086395387395,0.2652453353432356,0.07019812687347304,0.7633624539804877,0.32062021374244476,,-0.0063980652198663,0.46684762946927094,0.1298646366030214,,-0.4232105278349727,-0.5376755817361576,-0.3767759190547584,,-0.7198562506551633,-0.2908941886134446,-2.786888732366502,-0.8652008156739628,0.11759541437095011,-1.5055627792416182,-0.4894005356999944,,0.5874409041161228,0.1479656748410889,-0.2569348090095449,0.15129777827020163,0.1190554345488195,0.22570190095004872,-0.1878395192745228
ABBV,-1.205931356384549,-0.6224585603040058,-0.6035942678462862,,-2.3881450747848456,-0.3141333636022172,-7.7093045527341015,-0.5862450889300543,-3.295770051471094,-1.5629623315013217,-4.676848785035057,-7.338782034670992,-3.5279074054832438,-1.317102685947714,-2.7839364606349584,,-3.3430283142543415,-0.5353050014707117,-1.5558199926297467,-1.4213523559238186,-2.1410386038204496,-0.5020246837047271,,-1.007545965730444,-0.16683545375513997,,-2.305563912526577,-0.09103549351516094,-2.3026958230583716,-1.6205274156186196,-2.022930192163127,-3.2523616173455068,0.43170298513197736,-2.1764511874465846,1.0789476629099957,0.45625055952483784,-1.1933945834308766,-1.112083471099968,0.32987953227451605,-1.3096378199765324,-2.75982497784981,-0.9915920535873077,-1.2857738281685132,-0.976922362056416
ABT,,-2.592435955372286,1.1715045514880966,0.7515955982483371,-1.0531418460440767,-1.6779229150848076,-1.1362857959344161,-0.8118841654391287,-0.11654648134825685,-0.4434562711178138,-2.582858460487739,-0.5906448473006671,-2.29196389933146,0.1560592400430707,,-0.7811604205991434,0.16812331984905082,0.2450909756686026,-0.3293937327744203,-0.036591147051063366,,0.08426722216986127,-1.0161823516805404,-0.4261762815052901,1.7660688869024805,-2.1670764943858267,0.31377209920375293,-0.7032557021854942,-1.049731880899221,-1.680994674716211,-0.5608074081053687,-3.5471986990185282,0.5801788137194759,0.5012817408628214,-0.6262922901046233,-1.0527169639309655,-0.5245110124832806,-2.691734354831973,1.3083105190655626,-2.3730930780405046,0.8074985442382978,-1.6966848742254355,2.5539771786246943,-0.45077691753482174
ADSK,-2.7736468087064576,0.12597372823181852,,-0.022991637271152054,-0.18058637950586576,-0.5592149685861219,0.010281874931069357,-4.241928388578565,0.29710262671707754,0.1890700442613178,-0.3408351865752257,-0.18670159027828692,0.010905515521208553,-0.24673134242945238,,-0.7100292135380228,,-0.09689114370817853,0.025923037272454152,0.10784872471023599,-0.33049329059512944,-0.004278727755580025,-0.9990230395677242,-0.040331821881375074,-0.13236728828644706,-1.2725718886689643,-1.4752825703902341,-2.3906916300963235,,-1.3388417682807532,-0.9227986535907942,-1.1101725952390629,0.10363537446289017,-0.003601400242725372,-1.6407162799065156,-2.176104177918285,-0.7903305269048797,-0.7499982103223637,0.005615159102930978,-1.9145519034508025,-0.41499631384960445,-1.242745359468596,-0.8252357592389741,-0.394276197361223
TAP,,,,,,-2.1647312209269445,0.2683427385852655,-0.3962418540023118,-1.435749306799865,0.551678239477245,-0.11023914122231115,-1.7332186877564677,-1.9320081336160486,-0.8985914347201978,-3.6182814653348503,-1.2666715497727736,0.3829043131316596,-0.012906538658738143,-0.1473410989958468,0.05478383767315864,,-0.191065138454398,-0.11945625295837159,-0.46236298819169797,0.09217114245404945,0.5587194744195965,-0.08332296202239453,0.15500463999100766,-0.9733066530144385,-2.4266088540558632,-1.9113576129848355,-1.5022345154721086,-1.192945511764087,-1.4354201284487784,-2.1750980646364715,-1.714876191573092,,-2.4116479692668396,-3.4922831915813415,-2.0673949861911742,-2.2273677138576415,-1.2552871984429181,-1.45693755687559,-0.0814511529181976
ACAD,-1.2488585155082363,-1.5777453162969621,,-0.6434537323970537,-1.9422134311396286,-0.2190726418453237,-0.3842837195114637,-0.18177459472981683,-0.2079639365897501,-0.1506440734135075,,-0.6474087473447345,,,-0.2993660033997063,,,,,,,,,-0.6812466861694317,,,,,,,,,,,,,,,,,-0.21856571518942136,,,
