,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.8144785,0.63733,0.9066685,1.121038,0.879745,1.3324935,0.4175375,1.0336335,1.0533869999999999,1.1347135,1.487527,1.0085095000000002,1.4916265,0.9411355,1.408032,1.5363985,1.1795915,0.891006,,1.2247055,0.758678,1.1951915,1.2495945,1.5108985,1.3832535,1.222852,1.4389859999999999,1.2218605,,1.1491585,1.018062,,,,
ANET,,,,0.7157505,1.8525035,1.6365315,0.5638505,0.759834,2.6611435,0.646055,0.6151125,0.5503135,1.333551,0.4762135,0.6994965,0.643,2.027376,2.156681,2.1118635,2.0505554999999998,1.9121015,1.7313304999999999,2.229686,1.98621,2.4053455,1.2747739999999999,1.1129065,1.060148,2.1317285,,,,1.413533,1.2319705,1.016259,1.0300004999999999,0.915754,0.8825894999999999,1.023469,1.112522,1.65601,1.2137289999999998,1.352266,1.999722
TRUE,,,,0.9611270000000001,2.327972,1.0439425,,,,,,,2.1884335,0.7128289999999999,0.791712,0.8853485000000001,4.313087,1.0167395,1.2298494999999998,1.034593,3.0453455,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,2.803017,2.8061505,1.4050405,1.880089,2.4704895000000002,2.9150774999999998,3.6664665,2.2393665,3.6950285000000003,3.2839435,,,2.2232775,,,,,,,,,,,,,3.784764,2.9279775,2.1444055,2.3849080000000002,3.3939865,2.8075425000000003,,,,,,,,,,
RDUS,,,,,,,,1.0219955,,,,,,,,,,,,,,,,,,,,,,,,0.747869,,,,,,,,,,,,
MBLY,,,,1.2519325000000001,1.5653725,0.6349295,0.8896505,1.138084,1.4951235,1.32166,,1.2829715,0.9001285,,,,,,,,,,,,,,,,,,,,,,,,0.764427,0.766778,0.6006290000000001,0.720701,0.5466195,0.715862,2.3005455,2.857756
AMED,,,,,0.571742,,0.5226095,0.6739425,0.7985450000000001,0.6152029999999999,0.4679495,0.5773925,0.5390855,0.4795045,,,0.5135625,0.5696335,0.538407,0.850284,0.642328,0.5585995,0.4460675,0.4840005,0.880273,0.6827559999999999,0.47511899999999996,0.598861,,0.3824965,0.4141585,0.6114765,0.7242824999999999,0.6293759999999999,0.552215,0.6031299999999999,,0.591834,,,,,,
AAPL,,,,,0.931699,0.6440685,0.6519855,0.905554,0.8061185,0.6798145,0.571491,0.614582,0.5083685,0.4875575,0.5039994999999999,1.0143464999999998,0.9886155,0.6211655,0.6559085,1.208631,0.781011,0.7287545,0.6075205,0.8354725000000001,0.6626920000000001,1.064768,0.8740255,1.1601565,1.1655365,0.653575,0.5456289999999999,0.6702215,1.1590615,1.1930745,0.861469,1.2970995,1.0573645,1.0127615,0.868679,0.886662,0.8560245,0.9057170000000001,0.9775225000000001,0.91254
AAP,0.4016185,0.6419135,0.6980615,0.340903,0.507378,0.30573649999999997,0.4820905,0.475159,0.8203115,1.1734635,0.6724144999999999,0.853975,,0.39536550000000004,1.1071995000000001,1.248254,0.5835239999999999,0.488368,1.1323560000000001,1.053643,,0.39827250000000003,0.9219115,0.884815,,0.5670035,0.904659,0.552915,,0.35148199999999996,0.317674,0.789085,1.029554,0.573132,0.38186,1.010177,1.0289465,1.1100085,1.8638585,1.6862285,2.187493,1.638216,2.1198465,2.6801690000000002
ABBV,0.28180249999999996,0.2625235,0.245,,0.6730025,0.597086,0.6197090000000001,0.7301105,1.0263715,0.6200625,0.6471355,0.6191135000000001,0.5728869999999999,0.460792,0.6506825,,0.739742,0.8092555,1.053621,1.1886865,1.132367,0.656382,,0.7563335,0.8362295,,0.8353575,0.712603,0.548121,0.660139,0.50488,0.5507569999999999,0.4863675,0.813577,0.6870565,0.795963,0.586497,0.4743685,0.617107,0.90463,0.810132,1.0368205,0.6693395,0.54382
ABT,,0.2693675,0.3340895,0.208795,0.2056295,0.179948,0.2019915,0.2229715,0.2777365,0.2203965,0.417414,0.47052950000000004,0.39355399999999996,0.36056350000000004,,0.38032299999999997,0.498491,0.461353,0.398547,0.43326450000000005,,0.5256369999999999,0.4102665,0.5159035000000001,0.39453249999999995,0.9442065,0.6564105,0.47781700000000005,0.4331125,0.33394,0.412626,0.39898599999999995,0.609166,0.43664000000000003,0.4738725,0.4745785,0.4810215,0.4157845,0.632432,0.5963529999999999,0.432068,0.559315,0.7475345,0.4942165
ADSK,0.390341,0.9529875,0.9613825,0.98534,0.395879,0.31981649999999995,0.453527,1.6700055,0.5085875,1.3116585,0.4030275,0.519791,0.4510215,1.2209945000000002,1.603513,0.7871655,,1.6114475000000001,1.657316,1.5631754999999998,2.299197,1.8192979999999999,1.3452755,1.082149,1.7086725,1.0291645,0.7902085,0.6579195,,1.0035935,0.7466079999999999,1.0586885,2.2839825,2.137343,1.2694830000000001,0.998703,1.4077165,1.7035425000000002,1.0582655,0.883132,1.671211,0.4048565,1.419789,0.9484605
TAP,0.6378269999999999,0.45398649999999996,0.48806900000000003,0.7193974999999999,,0.344972,0.350656,0.340489,0.3939605,0.268061,0.3321415,0.5038325,0.363726,0.40529950000000003,0.4648255,0.5121375,0.625586,0.5737369999999999,0.9441785,0.885438,,0.7757685000000001,0.806964,0.948957,0.88161,1.082897,1.1764385000000002,1.0785155,1.0024095,0.9776035000000001,0.909841,0.9689785,0.439655,0.42770949999999996,0.3649325,0.4388415,,0.32496800000000003,0.4343975,0.3696585,0.607546,0.338307,0.5062344999999999,0.406763
ACAD,0.7404695,0.727237,,0.624216,0.579368,0.5309565,0.764533,0.67892,0.8713715,0.8129525,,1.4330235,,,1.3704990000000001,,,,,,,,,1.2989255,,,,,,,,,1.117926,,1.1733660000000001,,,,,,0.880203,,,
