,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.006323500000000002,0.004729160714285712,0.03439485714285714,0.06742507142857143,0.036767785714285704,0.07095242857142857,0.001624714285714281,0.04325685714285716,0.055753571428571416,0.06553228571428571,0.0748925,0.045013642857142884,0.09858785714285714,0.028837428571428587,0.09497478571428572,0.08610764285714285,0.05558285714285712,0.02389857142857142,,0.06988714285714286,0.018741214285714274,0.05311628571428571,0.07361942857142856,0.08237385714285714,0.06840235714285714,0.07153135714285715,0.08745621428571426,0.06183714285714286,,0.07152564285714284,0.05555835714285714,,,,
ANET,,,,0.00358830357142857,0.045934321428571435,0.033711814285714285,0.004146428571428571,0.007056285714285717,0.06866957142857143,0.005402535714285716,0.0055699285714285686,0.004097017857142857,0.032856125,0.004279535714285715,0.007508178571428571,0.007626875000000001,0.053147821428571426,0.1882580714285714,0.1854527142857143,0.16921699999999998,0.16929085714285713,0.1453925714285714,0.19697235714285716,0.16885685714285717,0.20988664285714287,0.058720928571428556,0.05858685714285715,0.0450105,0.19118428571428572,,,,0.06925321428571427,0.056300285714285726,0.04838507142857144,0.04474371428571427,0.04473228571428572,0.044599642857142845,0.051734857142857145,0.04956142857142857,0.0830175,0.0689360714285714,0.07693321428571429,0.17231950000000001
TRUE,,,,0.0032977500000000042,0.055297071428571425,0.009278157142857141,,,,,,,0.06014730357142856,0.008581035714285713,0.009681517857142857,0.011998892857142864,0.12006567857142858,0.014912410714285713,0.01859698571428571,0.012335771428571432,0.08461285714285714,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,0.2157182142857143,0.23185485714285717,0.0781237857142857,0.1013348571428571,0.16961321428571433,0.18751492857142854,0.30978392857142856,0.15459207142857143,0.3078524285714286,0.279432,,,0.15836764285714283,,,,,,,,,,,,,0.28701057142857145,0.22189328571428568,0.17377921428571427,0.19756571428571432,0.26459792857142855,0.2396581428571429,,,,,,,,,,
RDUS,,,,,,,,-0.0014547321428571372,,,,,,,,,,,,,,,,,,,,,,,,-0.0017851964285714292,,,,,,,,,,,,
MBLY,,,,0.07105066666666669,0.10124214285714286,0.016578714285714287,0.05286985714285714,0.04295828571428573,0.07098057142857143,0.07711928571428572,,0.06562042857142857,0.04520578571428572,,,,,,,,,,,,,,,,,,,,,,,,0.003505571428571425,0.0037979642857142843,0.0037516071428571446,0.004353982142857141,0.0019497321428571443,0.004233142857142859,0.155978,0.19252292857142858
AMED,,,,,0.005140553571428571,,0.0008877142857142853,0.004687196428571429,0.009552875,0.004852714285714286,0.0030733214285714283,0.0049,0.0035659999999999993,0.0039109464285714286,,,0.0025791285714285715,0.006679392857142859,0.004293957142857141,0.007732557142857144,0.0029232941176470565,0.0038155714285714295,0.0030482428571428576,0.0033594285714285705,0.017458285714285714,0.004316228571428571,0.0015949999999999972,0.00386317857142857,,0.0005907142857142857,0.0025112857142857137,0.005101839285714284,0.007743518518518515,0.0027348749999999977,0.0017193749999999991,0.002616910714285714,,0.004557732142857142,,,,,,
AAPL,,,,,0.05071485714285716,0.030333071428571428,0.035920928571428576,0.05347907142857143,0.04046907142857143,0.038793499999999995,0.03232078571428571,0.035612571428571424,0.029916071428571427,0.027768357142857143,0.027405357142857134,0.08717535714285711,0.07889392857142856,0.032864500000000005,0.037000285714285715,0.0960845,0.04377985714285715,0.04244028571428571,0.03450721428571429,0.05506042857142858,0.031790142857142864,0.08119364285714284,0.066259,0.07878978571428573,0.0636055,0.038686500000000006,0.02791114285714285,0.05085142857142858,0.08425028571428571,0.09281528571428573,0.06799214285714286,0.09824542857142858,0.08692107142857143,0.08122428571428573,0.07042685714285714,0.07410599999999999,0.07135564285714285,0.07251057142857144,0.07923114285714286,0.06741007142857143
AAP,0.0031156964285714273,0.010376742857142858,0.0123652,0.002686267857142859,0.007209732142857144,0.0019662678571428565,0.006496124999999999,0.006106392857142857,0.01136053571428571,0.02849685714285714,0.013295357142857138,0.01726517857142857,,0.003160385714285715,0.022575696428571435,0.025164535714285712,0.003990514285714283,0.003300414285714286,0.02009564285714286,0.01782727142857143,,0.002267267857142858,0.0146716,0.0147817,,0.002543339285714285,0.015945249999999998,0.0058309821428571456,,0.0020668392857142843,0.0010343214285714292,0.015398196428571431,0.02070726785714286,0.003888285714285713,0.0013974571428571423,0.020591142857142863,0.05422807142857141,0.06256549999999998,0.11477735714285717,0.0986325,0.13145907142857144,0.09441014285714286,0.14427035714285713,0.17996135714285716
ABBV,0.0006422142857142836,0.0004635857142857152,0.0005184999999999995,,0.05015185714285713,0.035807071428571424,0.04909978571428573,0.04558642857142857,0.07170771428571429,0.03692721428571428,0.05204035714285714,0.04753428571428573,0.043089285714285705,0.03006992857142857,0.05576892857142858,,0.05905507142857142,0.05169864285714286,0.09357792857142856,0.09151157142857144,0.09901921428571427,0.04299071428571429,,0.06141257142857143,0.06700514285714285,,0.06481342857142856,0.02835664285714285,0.02353264285714285,0.05131214285714286,0.037111571428571424,0.037101785714285705,0.023174357142857142,0.0614305,0.05348914285714285,0.05976957142857142,0.037595214285714294,0.029620785714285718,0.0419045,0.0739765,0.06953635714285714,0.09049649999999998,0.04207757142857143,0.017449928571428575
ABT,,0.0027658928571428565,0.005605785714285714,0.00035989285714285724,0.0003654821428571421,0.00037419999999999993,0.0005066249999999996,4.108928571428567e-05,0.0006410714285714274,0.0010151607142857139,0.0213915,0.023403000000000007,0.020295714285714275,0.015575500000000004,,0.01967092857142857,0.025899428571428573,0.023829142857142865,0.021520142857142852,0.02154157142857143,,0.030091062499999988,0.020878357142857146,0.028331785714285723,0.019347499999999993,0.04638350000000001,0.032672071428571425,0.014386071428571432,0.01892878571428572,0.00733164285714286,0.020867142857142855,0.020409785714285707,0.026641428571428562,0.01897035714285714,0.020616714285714283,0.01901335714285714,0.02279657142857142,0.02095785714285714,0.04182235714285714,0.030429285714285697,0.023447142857142857,0.029668142857142858,0.05020021428571429,0.025343071428571427
ADSK,0.001748446428571429,0.0168637,0.018170114285714287,0.021801892857142856,0.0023921428571428544,0.0015517678571428542,0.0026296250000000005,0.04459530357142857,0.002509392857142856,0.03268751785714286,0.0023475142857142853,0.0039243142857142855,0.003250400000000001,0.030969428571428575,0.13714200000000001,0.04608092857142857,,0.14256335714285714,0.1445624285714286,0.08665578571428569,0.2092815714285714,0.15962257142857142,0.08020957142857144,0.06715542857142857,0.13226978571428574,0.05811328571428572,0.03767614285714286,0.02945192857142857,,0.07928507142857143,0.04065328571428571,0.05906135714285713,0.19444057142857143,0.18317414285714287,0.08362635714285717,0.050793142857142856,0.115215,0.14631085714285716,0.06875900000000001,0.04933221428571428,0.1447562142857143,0.008810285714285715,0.124813,0.057178928571428575
TAP,0.04255968749999999,0.023706999999999992,0.021599812500000003,0.024065299999999994,,0.0009242571428571434,0.0005517142857142863,0.0019441964285714275,0.0030326428571428566,0.0010396071428571427,0.0012385892857142858,0.019392071428571436,0.017191500000000002,0.02051042857142858,0.026366642857142852,0.02842685714285715,0.03004835714285714,0.03101742857142856,0.052480928571428574,0.04464021428571428,,0.04676028571428573,0.04689164285714286,0.05931164285714287,0.053736714285714283,0.06628342857142856,0.07707985714285716,0.04505514285714285,0.057642071428571424,0.06780821428571429,0.057720785714285704,0.06485242857142857,0.001889611111111111,0.002291392857142856,0.0017744821428571425,0.0031633035714285712,,0.002154535714285715,0.004530482142857143,0.0033520714285714286,0.011268392857142857,0.0026128857142857145,0.004796899999999999,0.0039719285714285716
ACAD,-0.001180767857142856,0.0011807714285714287,,0.0012073214285714276,0.0016730714285714304,0.0005053000000000006,0.006581499999999998,0.0012777142857142868,-0.033332410714285714,0.002419410714285713,,0.03619942857142856,,,0.07665785714285715,,,,,,,,,0.08084035714285713,,,,,,,,,0.03743678571428572,,0.03372378571428574,,,,,,0.004829542857142858,,,
ACN,0.041659857142857144,0.05309816666666665,0.03675764285714284,0.03276591666666665,0.049175250000000004,0.04785699999999998,0.041224642857142856,0.05305808333333334,0.0910145625,0.048089,0.044969285714285705,0.029051071428571423,0.042668714285714296,0.04933157142857142,0.04490299999999999,0.04095735714285715,0.04553808333333334,0.049097785714285726,0.037777428571428566,0.05497885714285715,0.04119371428571429,0.04515728571428572,0.04624414285714286,0.04835042857142857,,,0.040262785714285716,0.044184499999999995,0.03879635714285713,0.023251428571428572,0.03733492857142858,0.05038508333333333,0.05438300000000001,0.04584257142857144,0.04086928571428572,,0.047575928571428575,0.045094214285714286,0.04588949999999999,0.0254945,0.05871499999999999,,0.06761042857142857,0.06946871428571429
