,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,20.809950817341132,21.2949161585123,21.49954116492675,21.92174140914111,21.99923041156386,22.315050239077163,22.5383278815659,22.749060391475798,22.827704229077927,22.40023937907287,22.05498301762228,22.409268636131927,22.062434763964532,21.740554527951545,22.09360911832907,21.89747529265262,21.727525027661212,21.60994688904478,,22.04826129835061,21.99680103814892,21.963698079265754,21.913482952098548,21.473545317672013,21.328256985649233,21.274381336722712,20.93358581254997,21.265828796962435,,20.916358509769413,20.783252796676056,,,,
ANET,,,,22.449463862029504,22.20037295004107,22.2446412499734,22.41471760352929,22.153015442538734,22.094449453653084,22.195897945718627,22.320752964372506,22.46710392050768,22.67385580853034,23.0346631480424,23.062448243449595,23.298946644327515,23.83732250892685,23.71488273896353,23.730095968336126,23.615280191708052,23.62255951257175,23.89219020780908,23.761018413642013,23.654183448839547,23.622152924075994,23.53737250907332,23.71826599006563,23.522419753984966,23.87462911624725,,,,24.354002828261823,24.319158049744086,24.313841182520775,24.328091739026785,24.45035414630419,24.616558992726613,24.59053434381108,24.719622147395196,25.193552493728042,25.17674915438001,25.304015304342606,25.631545179085286
TRUE,,,,20.96970196564916,21.22869406494258,20.9315704416535,,,,,,,20.85571414324464,21.198200159072407,21.376463803460727,21.21416682493349,20.90233995150305,20.7717633868799,20.873036636227877,20.900555923764486,20.7894478068819,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,21.057648391702543,21.764315278237646,22.159249024984046,22.518856179002125,21.845258443376224,20.799439818432337,20.810444829887704,20.898033535052548,20.939497443713268,20.86798195665933,,,20.876914922424827,,,,,,,,,,,,,20.96364004420561,20.99002872097958,20.96458603554394,20.85863602794451,20.816211915373014,20.859883711481363,,,,,,,,,,
RDUS,,,,,,,,21.834612820749662,,,,,,,,,,,,,,,,,,,,,,,,20.75344128397493,,,,,,,,,,,,
MBLY,,,,23.01832989271268,22.73711527466516,23.018503800765718,23.279137016003858,23.01259245350266,22.552639160110424,22.804030393056568,,22.888735701326308,23.036869537507567,,,,,,,,,,,,,,,,,,,,,,,,21.289949389287848,21.52835148691089,21.464879929435412,21.88573186234076,21.684257713858226,21.804402553424147,21.46067293558926,20.935458574371168
AMED,,,,,20.732070045906198,,21.119591911011135,21.03354932231977,20.93959039165909,21.272604290683184,21.313359649446642,21.108320461050933,21.206018809321417,21.360796454403417,,,21.426228958141444,21.531434768767998,21.815459127858674,21.89180249512245,22.090893682650545,22.1332747471426,22.213156577300115,22.205215159335758,22.59937783321995,22.489360632911165,22.665395553448572,22.82264235378171,,22.9513825839368,22.847035536166988,22.455658253910865,22.20208409068424,22.15492318664893,22.148274744677373,21.953697677208226,,21.663317692099685,,,,,,
AAPL,26.919791314792416,26.836969431925443,27.063926263303973,27.095008339574104,27.178013035417866,27.362312800165054,27.337496544603816,27.182628933626948,27.041157433023137,27.071651570485454,26.978825428338773,27.169851967087553,27.179513580836158,27.36847843546587,27.376183653702128,27.483830215922225,27.470051457619565,27.44607592337026,27.54664620789647,27.684109025412692,27.31543260294939,27.551217576589487,27.57287746438364,27.708786133696243,27.96035812956817,27.872733296613834,28.128817995717153,28.304296048155226,28.500185404341334,28.432634172560824,28.517319526699275,28.548560663823277,28.585909827105194,28.6050308005176,28.558739434382076,28.465448861867458,28.50075087334501,28.5894749603807,28.72589179062785,28.64686833477569,28.690708873912484,28.606808759530956,28.83097847573301,28.859144602787286
AAP,22.81094138595333,22.91848337263244,22.91696845835951,23.112053924026654,23.19588865343091,23.118073110415157,23.25589986412377,23.38024400970625,23.0405869288189,23.08179222277794,23.236091965436547,23.076843999264973,,23.063472339889874,22.811758220902416,22.527850648732823,22.775484462202943,22.900053444834004,23.09562416726277,23.239022676458934,,23.171518305219337,23.045470395365484,23.212459396458986,,22.926942751996883,23.132484125397674,23.10551586503615,,23.267725067453412,23.33306066762511,23.447226913403682,23.361249690592455,23.131277222534933,23.214021348744716,23.126429472970514,22.84347617413146,22.61796431234326,22.110299664593526,21.968298431516956,22.072054183975965,22.15438049750169,22.029378420723027,21.616514552845793
ABBV,25.065180423205735,25.08912734210025,25.17750579348573,,25.33408888337032,25.355323881963354,25.44482893299164,25.218067785095343,25.237423414776195,25.310236557786887,25.412045971018188,25.32933752965518,25.32412490068686,25.364249477199085,25.460877636352816,,25.87594087725186,25.705288565848942,25.727691311696322,25.52284948812629,25.58448864219398,25.479329178930353,,25.490668830203216,25.582485932439443,,25.854674214595292,25.68168866424029,25.93096676213482,25.99985665786771,26.070139098034417,25.990124485944285,26.213027851383323,26.343985522668394,26.301578517747135,26.32686966535753,26.2674272866108,26.38026734763795,26.246136764277928,26.269555258263008,26.41324125074581,26.411979573529056,26.463584656728393,26.536302848110562
ABT,,24.793836149711932,24.847732612728812,24.878106394830606,24.903274007784574,24.98739597677766,25.028418828984805,24.85379778791578,24.823756612443674,24.891505970314356,24.840847540065518,24.82623467215254,24.80669801003565,25.041379796466927,,25.284103828824165,25.358924463122932,25.37179023141314,25.424656755332688,25.54732198797751,,25.62229283190237,25.711718859966762,25.69924956051798,25.790177847768593,25.800728262687212,25.865516220355282,25.98000379095557,26.03816049901526,26.119655503176514,26.077046498431805,26.07781220591538,26.107654189867894,26.07788116283847,25.983263565363107,25.937348380671928,26.002422719302245,25.921801960818275,25.951987833541743,25.79778872862546,26.011081887176662,25.967651930804966,25.927848660881633,26.031112885738878
