,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.2094782608695652,-0.8344126984126985,-0.43107692307692286,-2.014760563380282,-2.787272727272727,0.5656913580246913,-1.788830188679245,-0.44010526315789467,-1.1198723404255322,0.34073846153846166,0.32403278688524584,0.2966379310344827,-0.4951494252873565,-0.7070540540540541,-1.4496097560975614,0.375370786516854,0.28367164179104476,-0.01506666666666682,,-0.021134328358209085,0.23484210526315774,0.06499999999999996,0.11616666666666671,0.2517391304347824,0.4521428571428572,0.0626896551724139,0.04954545454545454,-0.07152941176470591,,0.5298823529411765,-0.2493846153846157,,,,
ANET,,,,-0.17185858585858585,0.9019230769230759,0.241304347826088,0.08333333333333333,-0.5655172413793103,-0.045801526717557356,0.28565891472868205,0.21428571428571427,-0.13935820895522416,-2.5641509433962266,0.24895049504950503,-0.9611842105263159,-0.5326582278481015,-1.3481927710843362,-0.008849557522124333,0.3639999999999999,0.12901554404145216,-0.35497076023391727,-0.5824390243902438,-0.17573221757322277,-2.0394871794871787,0.34490740740740716,0.20501063829787228,-0.6747958115183245,-1.3061920903954807,0.9146341463414648,,,,0.37455882352941183,0.425780701754386,0.4677708333333333,0.01235294117647047,0.29520792079207914,-1.276637931034483,-1.4712307692307693,-0.7001242236024845,0.540906005221932,0.24879324894514768,-0.3963221476510068,0.10614035087719326
TRUE,,,,0.03447272727272727,-0.41000000000000014,0.16320000000000004,,,,,,,0.05833333333333265,0.3163333333333335,-0.5859999999999999,-2.6374054054054055,0.6157894736842103,0.4230769230769231,-0.22580645161290328,-0.1333333333333333,-1.1166666666666667,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,-0.17999999999999924,-0.1983471074380164,-0.38645161290322555,0.7082025316455696,-0.1606060606060605,0.4643575418994412,0.845679012345679,-0.1490066225165563,0.5642458100558663,0.06081081081081042,,,-0.04015267175572511,,,,,,,,,,,,,-0.2806451612903222,0.6814159292035388,0.977011494252874,0.11392405063291233,0.7068965517241381,-0.6161616161616158,,,,,,,,,,
RDUS,,,,,,,,-0.2163018867924529,,,,,,,,,,,,,,,,,,,,,,,,-0.48136170212765966,,,,,,,,,,,,
MBLY,,,,0.12492307692307703,0.6112903225806452,0.3895483870967742,0.336677966101695,0.3663095238095239,0.18868965517241393,0.4932727272727273,,0.6018313253012049,0.2935714285714284,,,,,,,,,,,,,,,,,,,,,,,,0.12764705882352934,-0.35120300751879685,0.11244210526315793,0.18836734693877563,0.13783050847457637,0.28558139534883714,-0.9201454545454546,0.27107692307692316
AMED,,,,,0.19805243445692877,,-0.0226398210290827,-0.7414797136038184,-0.9684821428571427,0.2164750957854406,-0.11316397228637418,-0.9782808022922634,-0.570071599045346,-0.02984054669703857,,,0.1286652977412731,-0.5336494845360825,-0.25155688622754485,-0.48007092198581575,0.23487704918032784,-0.24591627906976737,0.03560638297872326,0.12181280788177337,0.31133333333333324,-0.0255018315018316,-0.49300520833333344,0.040134275618374515,,-0.042418367346938386,-2.700365853658537,0.12063953488372095,-0.378610465116279,-0.16900714285714274,-0.021404580152671798,-0.5419956896551722,,0.16555555555555565,,,,,,
AAPL,,,,,0.008482758620689656,0.4921985815602837,0.01803278688524581,0.4023243243243244,-0.2036823734729493,-0.3530648330058941,-0.8166666666666667,0.44280230326295583,-0.9567567567567571,0.6379110251450676,-0.4322324723247231,0.3773049645390091,-0.07851851851851868,0.12151315789473682,-0.4067977528089891,-0.33393665158371116,-0.25036994219653214,-0.142809523809524,0.48430434782608683,0.4062761506276151,0.41725165562913913,0.6231075697211141,-1.8978417266187073,-0.17241379310344718,0.3917916666666668,0.6685436893203884,0.4840104166666666,0.33732057416268374,-0.4428571428571446,0.2604938271604962,0.08348134991119065,-0.4116129032258062,0.4424242424242414,-0.11942446043165496,-0.3227665706051843,0.8584615384615404,0.8485757121439251,-0.5923076923076914,0.8285714285714286,0.6491228070175439
AAP,-1.3451917808219178,0.6949913043478262,0.058341463414633865,0.20550000000000004,-0.15494059405940586,-0.06647058823529405,-1.0718499999999997,-1.8243513513513516,0.4105671641791045,0.7327157894736842,-0.001846153846154082,-0.9118404255319146,,0.14628037383177578,-1.4427083333333333,-1.0297619047619047,-0.05672131147540988,0.32872268907563024,0.07450746268656701,-0.5947746478873238,,0.15760273972602748,0.5743490566037738,-0.17593442622950822,,0.07104046242774585,0.5117105263157895,0.29321929824561394,,0.2100504201680671,0.17029078014184396,0.46531168831168834,0.5946105263157895,-0.1260368663594472,-0.4462709677419355,-1.1633834586466165,0.52308547008547,-3.7850681818181813,0.5855056179775282,0.4894202898550725,0.7003069306930693,-0.12343558282208629,-0.5554509803921569,0.7546141732283465
ABBV,-0.16981132075471705,0.010588235294117631,-0.010943396226415261,,-0.7870967741935457,0.5339512195121952,-0.4352941176470575,-2.758620689655169,0.5681818181818169,0.44390243902439014,0.10650887573964192,-1.490322580645161,0.11805555555555335,-0.024201183431952437,0.29508196721311136,,-3.794212218649517,-0.3594651162790698,0.07142857142857272,0.8316062176165825,-0.3316708229426408,0.5478767123287672,,0.11999999999999886,-0.7033333333333331,,0.6130136986301337,-0.9344978165938832,-0.2861538461538465,0.7844522968197882,-0.07531380753138399,-1.049180327868852,0.36601694915254246,-0.823984526112187,-0.5331695331695353,-0.19230769230768965,0.1977032520325201,-1.784424778761062,-0.3839181286549708,-0.1589648798521223,0.8064516129032286,-0.07272727272727092,-0.3634029850746263,-0.6174324324324322
