,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,0.26636559139784943,-0.7403579766536965,-0.2801492537313431,-1.7675405405405404,-2.6623822714681444,0.5908048780487806,-1.4469909909909908,-0.33563451776649744,-1.0602402088772844,0.3767490636704121,0.35567871485943764,0.3416806722689075,-0.4415593220338984,-0.6168476821192052,-1.3308,0.4221886792452831,0.35260431654676255,0.053967741935483836,,0.09048571428571435,0.282402555910543,0.1503947368421053,0.18752,0.3595789473684209,0.499767441860465,0.11993277310924388,0.18273684210526303,0.0019290780141843738,,0.592,-0.10850909090909101,,,,
ANET,,,,-0.1146699507389163,0.9053364269141522,0.25941644562334315,0.11945392491467581,-0.5000000000000001,-0.03201506591337105,0.3378531073446327,0.265377855887522,0.01655516014234847,-2.474022988505747,0.3099904306220096,-0.8738510301109352,-0.36075144508670537,-1.288454011741682,0.023554603854389296,0.38451612903225796,0.15739348370927447,-0.27658402203856663,-0.5105937136204888,-0.14111675126903644,-1.9783919597989943,0.37733773377337715,0.2796265984654731,-0.5316138613861383,-1.1763369565217396,0.9194630872483235,,,,0.41772241992882564,0.45999150743099787,0.5028673469387756,0.03650485436893209,0.3189365853658536,-1.2432905982905986,-1.4400761904761905,-0.681141975308642,0.5491031797534068,0.26867782426778236,-0.35333554817275753,0.12843905915894538
TRUE,,,,0.10343859649122812,-0.3840490797546013,0.2420000000000001,,,,,,,0.1049504950495043,0.4123809523809525,-0.5046341463414634,-2.4242597402597403,0.639506172839506,0.47222222222222227,-0.15625,-0.06504065040650397,-1.032,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,-0.14193548387096702,-0.16700201207243454,-0.34949602122015905,0.7240183767228178,-0.13801843317972343,0.48685082872928165,0.8461538461538461,-0.1367380560131795,0.5708390646492438,0.06867671691792253,,,0.0498336414048059,,,,,,,,,,,,,-0.2406249999999996,0.7012448132780074,0.9774011299435033,0.1691394658753718,0.7118644067796612,-0.5841584158415838,,,,,,,,,,
RDUS,,,,,,,,-0.05467256637168159,,,,,,,,,,,,,,,,,,,,,,,,-0.3474800000000001,,,,,,,,,,,,
MBLY,,,,0.2183876923076924,0.6572549019607844,0.42532806324110667,0.4092839506172839,0.39026392961876843,0.2699000000000001,0.5335714285714285,,0.6285103857566765,0.35672413793103436,,,,,,,,,,,,,,,,,,,,,,,,0.1560671462829735,-0.30357274401473305,0.1295,0.21118387909319913,0.16886666666666664,0.3092571428571428,-0.8635357142857145,0.31659259259259276
AMED,,,,,0.2913879003558718,,0.04821350762527236,-0.44600229095074434,-0.72010966415353,0.286243631310792,-0.04091928251121078,-0.691236842105263,-0.360161756210283,0.05404208194905883,,,0.22401179941002955,-0.42970632155301136,-0.17935860058309033,-0.3769863013698631,0.3163317073170731,-0.08826666666666663,0.14135345911949676,0.21943255813953483,0.3618922155688622,0.09144625967325873,-0.37687173100871746,0.08971821305841925,,0.08262500000000039,-2.400637681159421,0.22752808988764053,-0.18773333333333322,-0.025772652388797185,0.055061818181818115,-0.3075843621399175,,0.27046357615894046,,,,,,
AAPL,,,,,0.019041095890410916,0.4982394366197183,0.02851323828920553,0.4110150753768845,-0.1863494809688581,-0.34483365949119393,-0.801759899434318,0.44902054467271857,-0.942279618192027,0.6431938431938431,-0.4160146923783285,0.3805996472663159,-0.0647166361974407,0.1312786885245902,-0.386945606694561,-0.3234567901234577,-0.23858620689655202,-0.1290154211150654,0.48759891598915983,0.41085594989561586,0.42146743610882115,0.6315481986368048,-1.882289803220038,-0.16448850833708778,0.400123870967742,0.6707990314769977,0.48925605536332173,0.34437869822485634,-0.43818770226537385,0.26390168970814365,0.08632138114209888,-0.4025641025641023,0.4455743879472682,-0.11341681574239747,-0.3189655172413764,0.8592734225621435,0.8490284005979044,-0.5862068965517232,0.8302687411598303,0.6506550218340611
AAP,-1.2334314381270906,0.7194358974358975,0.1261465346534652,0.257406976744186,-0.06852682926829252,-0.01719806763285016,-0.9908068459657698,-1.7037709251101323,0.45957477477477476,0.7555805626598466,0.05287466666666655,-0.7698282828282826,,0.1873197278911564,-1.3531645569620254,-0.9692082111436952,-0.018545454545454556,0.3495269709543569,0.10228044280442798,-0.552477508650519,,0.17294915254237309,0.5949629629629631,-0.1441535353535353,,0.09205164992826417,0.5389384288747346,0.3262991452991452,,0.2339213250517598,0.20112587412587418,0.4970207336523127,0.6209687499999998,-0.07013274336283191,-0.3837606299212599,-1.1332462686567164,0.5405546218487394,-3.707426966292135,0.6001114206128134,0.5038571428571429,0.7066928746928747,-0.035987841945289256,-0.5145064935064934,0.7683118908382065
ABBV,-0.10138248847926265,0.06296650717703356,0.039999999999999904,,-0.6661654135338321,0.5986589595375723,-0.3843971631205661,-2.516129032258061,0.5869565217391292,0.5017543859649123,0.12336719883889394,-1.4585987261146491,0.1301369863013677,0.14254335260115636,0.31836195508586196,,-3.616099071207429,-0.3279355951696377,0.13054662379421342,0.8341836734693899,-0.3226006191950439,0.5660971524288108,,0.12784935579781848,-0.6906534325889163,,0.6395534290271101,-0.8811040339702729,-0.24095823095823118,0.7928692699490665,-0.04897959183673782,-1.008032128514056,0.3920545073375262,-0.781766650921116,-0.49014925373134544,-0.16749256689791606,0.2217596782302663,-1.7532930181418362,-0.3676855895196507,-0.15098669114272273,0.8080000000000028,-0.06527777777777602,-0.2566241341596787,-0.592470588235294
