,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,-0.011265164644713953,0.12483185364541298,0.07344880508660384,-0.16010994674454562,0.24960254372019072,0.01124507303501042,-0.05718459772513831,0.09593440960189328,-0.14196421595437145,-0.040493590511560984,0.04890016920473774,-0.036617382893464216,-0.11278342455042996,0.14104638619201737,-0.1769609700644184,-0.045873674504379944,-0.01939890710382516,0.07437000614628156,,0.04678826328310864,0.01586307660196212,0.035814455231930886,0.046052631578947394,-0.005105762217359612,-0.0004545454545455256,-0.04881585306911559,0.07359891964888587,-0.0754352030947775,,0.03162650602409638,-0.05721393034825881,,,,
ANET,,,,-0.10796561604584529,0.0075011031033976345,-0.05064576984472493,0.030644765873988723,0.13718528082633946,0.11779879621668103,0.05111670336583832,-0.003333796360605569,0.014985380116959114,0.18857941499450934,0.032239657631954424,0.194376952447067,0.11215984986476803,-0.18986231978178975,-0.0851222699271981,-0.052639323156152294,0.06976261620185911,0.09622892266799563,-0.10435901560238055,-0.10322533245169356,-0.24234370527865226,-0.059548859523609145,-0.05638722554890223,-0.10932232281525821,0.15440496020729227,0.006799417192811933,,,,0.057971014492753666,-0.035768645357686486,-0.003996258821528772,0.05667714711236136,0.04014705882352947,-0.15721778221778226,0.1967889612483075,0.14027999089460508,-0.054720877242950744,0.06452790247819266,0.11280585704193691,-0.07092478307271123
TRUE,,,,-0.01684717208182919,-0.13577274915743864,-0.06121091151031271,,,,,,,0.08528301886792458,0.028307336799537956,-0.14249103024090215,-0.35250917992656056,-0.06129303106633085,-0.09423076923076927,0.1239015817223197,-0.17639372822299654,-0.248046875,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,0.1296703296703296,-0.13334559499724113,0.1263292216078264,-0.0058027079303674955,-0.15193644488579938,-0.08683473389355756,-0.023342670401493928,0.12532411408815897,-0.0653266331658291,-0.12670920692798546,,,-0.1021555763823805,,,,,,,,,,,,,-0.19141755062680807,0.03448275862068977,0.001986097318768577,0.07882882882882875,0.040284360189573445,-0.18285714285714283,,,,,,,,,,
RDUS,,,,,,,,0.01638649526769313,,,,,,,,,,,,,,,,,,,,,,,,-0.10289389067524109,,,,,,,,,,,,
MBLY,,,,-0.05689839572192506,0.014168319637291017,0.016590264134468412,-0.005719091673675415,0.027009222661396663,0.01669565217391306,-0.02380952380952374,,-0.0030173497611265913,0.028187337380745973,,,,,,,,,,,,,,,,,,,,,,,,0.05949926362297484,-0.1612903225806452,-0.060089020771513346,0.07243816254416964,0.011947863866763152,-0.007069408740359975,-0.22476190476190472,0.09581320450885664
AMED,,,,,-0.01769025367156212,,-0.06840317100792744,0.08374505928853757,0.14684563758389257,-0.054022766737410716,-0.05020453700260325,-0.12745545911375053,0.061800082953131566,0.0274558744874309,,,-0.003701834090526651,0.07803248823440109,0.1088326391113959,0.14163940925760735,0.013452914798206208,-0.06211860428727897,-0.02052360577271727,-0.03136450241829108,-0.04063954063954068,-0.04888987320746366,0.06531961450719308,0.008603706830700015,,0.0025615832690011977,-0.2190658290084676,0.021622556651098426,0.096590066716086,0.026381322957198337,-0.04806491885143568,-0.11994494019365867,,0.02340073763194714,,,,,,
AAPL,-0.07992733878292461,0.0819818961410195,0.026076858108108097,0.02716519647153161,0.056532893531244285,-0.01575574820957409,-0.042294455066921616,0.04120471409864687,-0.06570657065706564,-0.06257786296118832,0.0649632771283749,-0.022494714587737816,0.06098063452822419,-0.003050640634533175,0.04725091636121276,0.02611385402415077,-0.043390153772797715,0.04417504435245417,0.058910084607704076,-0.0663306633066331,0.06833462632531674,0.04908556336273495,0.020404253280965567,0.02260955356408781,0.020932355440838483,-0.016099387338325454,0.10468863707246083,-0.05601803676725628,-0.03498521751372659,-0.0007486150621352203,-0.012195952851400288,-0.01815560070787168,0.06977766612234652,-0.03660474211684173,0.03279313632030503,0.07555248618784528,0.024399946956637098,0.046926835152904287,-0.048020086833708106,-0.005181055358450118,-0.00540511612972289,0.0598162168410102,0.006869389998168162,-0.013279624629277146
AAP,0.1274040632054176,0.0088517134968329,0.07044659562352555,-0.02550712994577226,-0.06755342077714145,0.05070046697798528,0.0918023255813953,-0.15426105717367855,-0.0011546510788770772,-0.0018774772268966707,-0.04387219837863606,0.149965010496851,,-0.05431537039670117,-0.20343944383461393,0.16334467671366065,0.08210726150925492,-0.032060428031892636,0.07794808064070693,0.1057105231653298,,0.030936143831369996,0.0004924029262801996,-0.07510958417249146,,0.03592403325451895,0.01149068322981363,-0.007725212283726029,,-0.01705625481633698,4.813014390908651e-05,-0.025712041668389064,-0.007490636704119881,0.0074220682830283295,-0.09615674453654867,-0.15059258453843638,0.030790016354974137,-0.35035650623885917,0.0311850311850311,-0.0467465753424657,0.02579150579150582,-0.10971786833855812,-0.17474160206718345,0.006350757205666955
ABBV,0.01904367625750351,-0.0036496350364963446,-0.0166420118343195,,-0.043884664131812356,-0.0041847489150650344,-0.034600113442994865,0.10073937153419585,-0.01700984780662494,0.008237232289950576,0.023331273176761515,-0.06280507647250243,-0.020727925575322395,0.015836408364083437,-0.017984107068172397,,0.13767313019390578,0.060629149885707986,-0.03598041302959331,-0.008103727714748678,-0.0621797857475546,0.008516588280157642,,0.027655562539283505,0.05861436109199356,,-0.011765930862140875,0.05491508615346464,0.033632937083212563,0.005500946884299751,-0.021620257424076784,0.045591319412783805,0.011824817518248208,-0.06032883372784855,-0.04166944908180307,-0.0383713355048859,0.028282967982850248,-0.07991347342398025,0.04897815362931634,-0.04318181818181806,0.006444298585834382,-0.04584852651084935,0.03382327904205198,0.06360517286883088
