,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
WB,,,,,,,,,,14.69,11.5,12.42,11.74,10.42,10.96,11.16,25.61,14.71,10.93,19.02,14.63,14.75,18.47,13.0,27.85,29.3,26.38,,19.23,16.69,17.91,18.73,30.74,26.19,25.87,24.11,20.7,,15.98,14.45,,,,
ANET,,,,13.67,15.29,12.74,13.77,15.05,21.64,15.91,12.42,22.08,11.76,10.46,10.44,9.93,19.13,15.9,12.19,19.34,16.22,14.42,17.87,13.22,14.15,33.61,23.76,37.13,22.49,,,,28.33,32.34,22.84,25.88,20.34,16.08,13.63,19.75,13.93,13.23,17.69,15.2
TRUE,,,,14.17,15.29,15.13,,,,,,,11.76,9.96,10.96,9.4,19.13,14.71,11.27,19.91,16.22,,,,,,,,,,,,,,,,,,,,,,,
GPRO,,,,14.52,16.85,12.41,12.22,14.33,21.65,15.91,12.83,22.08,11.93,,,10.2,,,,,,,,,,,,,21.77,18.39,17.28,15.44,24.35,31.2,,,,,,,,,,
RDUS,,,,,,,,15.51,,,,,,,,,,,,,,,,,,,,,,,,16.48,,,,,,,,,,,,
MBLY,,,,13.96,13.84,12.86,12.51,14.15,20.98,16.05,,14.48,11.57,,,,,,,,,,,,,,,,,,,,,,,,19.08,18.84,13.19,20.19,13.14,15.97,16.36,20.35
AMED,,,,,13.86,,13.44,15.51,18.67,15.6,13.37,22.08,12.92,10.59,,,18.59,14.75,12.83,24.7,14.7,13.12,16.12,13.2,14.83,34.12,25.44,40.28,,17.28,17.97,16.03,31.02,31.6,23.24,27.28,,18.34,,,,,,
AAPL,17.42,13.27,12.24,18.57,17.22,13.12,12.22,15.43,22.5,13.96,13.05,13.46,11.99,10.59,10.09,9.93,13.47,15.49,12.83,19.34,19.13,13.12,13.94,12.33,16.28,34.15,24.76,37.59,37.21,17.28,19.36,16.53,30.49,29.99,22.33,27.39,18.73,20.09,15.92,15.66,13.88,14.68,18.59,23.16
AAP,19.95,12.17,12.9,14.17,16.96,12.88,13.61,16.06,26.29,15.95,11.81,14.48,,10.72,12.33,11.5,20.6,13.08,14.78,20.45,,14.95,21.09,12.69,,29.3,21.35,25.75,,17.9,17.15,16.49,28.33,29.43,24.11,24.54,20.95,17.46,16.97,14.16,13.43,12.92,16.27,14.02
ABBV,17.29,13.32,11.84,,18.76,12.71,12.64,14.61,22.42,13.77,12.72,15.36,10.63,10.85,10.11,,11.58,17.84,12.14,19.34,18.89,13.14,,13.22,14.96,,24.76,37.59,25.56,17.61,17.7,16.53,21.96,29.99,22.33,27.39,19.63,18.84,13.19,20.68,13.88,15.37,18.04,19.34
ABT,,15.61,11.96,16.08,20.44,13.25,12.22,15.75,23.11,13.24,11.97,15.28,11.07,14.42,,10.31,11.1,15.25,12.06,17.62,,12.18,12.86,13.54,12.85,40.84,27.76,29.35,23.02,17.29,17.91,15.7,31.16,21.37,24.5,30.5,19.2,16.83,13.76,17.88,12.55,18.4,14.48,20.64
ADSK,14.35,13.17,12.42,13.58,13.91,12.85,26.1,16.99,19.11,16.33,13.63,12.9,11.81,14.66,12.23,10.03,,12.53,12.41,22.48,14.78,16.92,20.31,11.54,39.16,27.62,22.03,21.64,,16.74,16.79,19.38,30.32,27.5,22.82,21.29,21.14,19.14,15.98,13.35,13.4,12.74,15.65,14.1
TAP,14.3,13.8,16.87,14.17,,15.15,12.51,15.51,26.29,14.68,12.44,17.06,11.07,10.59,10.09,10.18,24.97,15.49,12.83,23.35,,13.12,13.94,13.2,15.18,31.23,24.1,40.28,21.99,17.28,18.31,16.98,28.81,32.34,22.84,25.88,,16.08,13.63,16.87,13.93,14.67,38.57,16.27
ACAD,14.04,13.8,,12.67,13.91,15.13,13.77,15.05,19.81,15.91,,18.71,,,10.96,,,,,,,,,12.33,,,,,,,,,30.15,,21.29,,,,,,13.43,,,
ACN,14.93,11.59,14.93,19.44,15.44,13.26,22.13,17.86,14.94,21.17,12.39,11.45,12.81,10.75,9.87,9.72,17.86,17.91,12.89,25.58,15.15,16.21,15.96,12.58,,,28.58,22.5,19.23,16.32,20.87,19.29,26.67,28.95,27.99,,22.26,13.2,18.22,12.56,13.04,,15.41,27.62
ADBE,14.52,12.06,12.73,20.08,15.66,14.81,21.14,19.34,14.44,18.48,15.92,,11.21,10.86,10.18,,16.59,12.12,12.37,,13.5,15.15,14.44,13.94,75.47,40.79,25.59,22.27,20.3,17.75,24.36,19.29,22.94,32.95,26.16,,26.14,14.5,12.82,12.19,14.4,11.94,17.07,13.58
ADM,21.44,13.97,15.12,14.73,19.43,12.85,12.56,14.15,19.98,14.68,12.44,17.06,,10.11,10.26,10.5,,15.93,14.26,19.96,15.73,13.25,16.12,12.33,16.39,,24.1,37.59,23.19,17.64,,15.24,29.9,27.02,,29.85,19.08,16.89,13.91,20.37,,14.67,16.6,21.98
AMAG,,,,,,,,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AET,19.95,13.27,12.56,16.04,19.43,13.12,12.56,14.33,20.2,13.77,12.44,14.24,11.88,10.11,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEM,14.3,13.25,13.33,15.15,16.96,14.55,12.5,14.33,26.29,15.22,12.83,,11.97,10.36,9.6,11.23,19.26,16.24,,25.23,16.22,13.25,12.07,14.01,14.15,34.15,24.1,40.28,21.25,17.61,18.31,16.98,,29.99,23.24,27.28,20.17,17.03,13.19,20.19,14.01,15.37,16.36,20.35
AGIO,,,,13.67,,15.15,12.51,,,16.05,12.86,19.32,,10.68,,10.18,,,13.15,,15.65,14.8,16.12,12.33,13.74,,24.1,,,17.28,,,,,,,,,16.09,,,,,20.35
SWKS,,,14.54,13.67,,14.55,12.64,15.05,22.42,15.22,12.74,22.08,12.78,10.36,9.58,9.4,,15.9,12.87,16.72,15.57,14.42,19.49,12.68,12.98,35.97,26.08,37.13,30.21,17.61,17.7,15.44,24.35,29.25,21.44,25.3,,16.98,15.77,15.66,13.31,15.65,17.69,14.71
HES,15.8,13.71,13.28,14.39,17.22,12.41,13.44,15.43,22.5,13.96,13.05,13.46,11.07,10.76,,11.16,17.31,18.02,12.41,23.35,19.13,13.14,13.94,13.2,16.28,34.12,25.44,33.35,23.02,17.56,19.36,15.98,31.16,33.52,24.69,28.46,19.2,18.76,,18.97,,15.97,,
AIG,,13.29,15.12,14.73,15.34,14.55,12.56,14.15,28.14,14.68,13.37,19.32,10.74,10.68,10.28,9.93,33.46,15.97,12.19,21.23,15.65,15.44,19.49,13.22,13.74,35.97,24.28,27.58,21.46,18.39,17.28,15.44,24.29,29.25,21.29,25.81,18.23,20.09,13.93,16.87,15.85,15.39,16.36,21.98
AIZ,19.95,13.27,11.52,15.15,,14.31,13.44,15.43,26.54,13.96,13.05,13.46,11.29,10.59,10.09,9.93,,15.9,,,15.43,15.44,20.17,13.1,15.18,,,37.13,,,,16.03,21.44,,,,,,13.93,18.14,13.06,13.23,,
AJG,,,,14.39,17.33,,,,,,12.72,,,,,,,15.49,,,,,,13.71,15.49,,24.76,37.59,30.21,17.61,17.7,16.98,30.49,29.99,22.33,27.39,18.73,17.03,14.41,20.68,13.45,15.37,,19.08
AKAM,,13.25,13.33,15.15,17.23,12.41,13.44,15.43,26.54,13.96,13.05,13.46,11.29,10.59,,,29.98,15.93,12.83,24.7,15.43,13.12,13.94,13.11,15.18,33.57,25.44,33.35,21.63,19.48,18.04,16.03,,29.25,,25.54,18.91,,,14.81,15.85,,,
HON,13.77,14.18,14.54,25.2,,12.6,12.11,16.05,22.42,13.95,12.74,13.75,10.63,14.15,9.58,10.05,11.58,15.96,12.87,,16.57,12.6,13.97,13.68,15.49,,26.08,37.59,30.21,18.71,17.69,15.01,22.09,29.99,23.24,27.28,17.87,18.84,13.19,20.19,14.35,15.97,18.04,19.24
ALKS,14.35,,,,14.56,13.39,12.5,14.33,20.72,13.77,12.83,18.56,10.74,,9.6,11.23,24.97,17.84,,19.64,,13.14,12.07,14.46,13.74,33.57,25.44,,,,19.36,,25.7,,24.69,25.81,18.23,18.76,,18.97,,,14.72,19.24
ALLY,,,12.56,14.39,20.44,,15.6,,19.98,14.08,,13.46,11.88,10.85,9.6,,,17.84,,25.23,19.13,12.6,13.97,13.54,12.85,38.15,28.0,26.97,21.32,16.57,22.5,15.49,25.59,21.82,25.3,30.5,20.52,16.83,13.3,17.88,14.13,18.21,13.19,19.11
ALXN,,13.27,11.52,17.87,20.44,12.71,12.5,14.33,21.98,13.77,12.83,14.24,11.97,10.85,9.6,11.23,27.73,17.84,,20.71,16.14,13.14,12.61,14.46,16.39,33.61,24.1,,,,,,,,,,,,,,,,,
AMAT,14.3,13.17,12.42,13.79,16.96,12.74,13.49,18.37,21.64,16.33,11.43,13.35,11.97,14.66,15.55,11.76,19.26,13.43,13.45,19.98,16.22,15.29,21.18,,13.74,32.61,22.13,25.35,22.49,20.67,21.67,17.59,24.29,29.35,19.56,23.93,20.17,16.05,17.89,,,12.42,15.23,14.31
TWX,19.11,13.71,16.87,14.89,17.23,12.41,13.0,14.54,26.54,15.6,13.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMG,21.44,13.97,12.56,14.03,15.52,13.12,15.6,14.33,19.98,14.68,11.87,16.19,10.58,10.82,10.29,9.8,11.08,15.41,13.03,24.16,16.14,12.87,12.16,12.65,,,,27.55,20.87,,19.36,16.26,23.22,,21.33,,,,,14.91,,,,
AMGN,15.8,13.19,13.28,16.04,17.22,13.25,12.13,14.33,22.42,15.22,12.83,15.36,11.93,10.85,,11.23,13.47,18.02,12.14,23.35,19.13,13.12,13.94,13.2,15.49,34.15,25.44,40.28,25.56,17.56,18.04,16.03,,31.6,21.44,25.3,19.4,17.03,15.92,19.75,13.06,14.68,27.71,20.35
AMP,19.11,13.97,13.28,14.39,20.44,12.71,12.12,16.7,23.11,13.77,13.05,13.46,11.81,10.84,,11.16,11.47,16.34,12.41,20.71,17.66,13.14,12.07,14.01,16.39,34.12,24.1,40.28,37.21,17.64,,15.98,31.96,27.02,24.69,28.46,19.08,16.89,13.19,20.19,13.14,16.94,18.04,19.24
AAL,17.42,13.27,11.52,17.87,15.52,12.48,12.64,14.45,22.42,13.95,12.74,14.41,10.63,10.85,10.11,11.23,11.47,17.84,,25.23,19.52,13.25,12.07,14.01,,31.23,24.32,26.97,37.21,17.5,17.91,15.49,23.85,20.32,23.88,30.76,19.08,18.84,13.76,19.22,13.14,15.97,18.04,19.24
AMT,14.23,13.41,13.28,15.15,,13.39,13.44,,,15.22,12.83,14.24,11.47,10.85,9.6,10.5,15.8,15.93,14.26,24.7,15.17,14.42,13.94,12.33,25.03,,24.1,40.28,21.34,17.28,18.31,16.98,31.02,33.52,23.24,27.28,22.29,18.76,13.19,20.19,13.74,14.67,16.6,19.8
AMZN,17.29,13.32,11.84,16.53,18.76,12.48,12.64,14.45,22.42,15.22,12.72,15.36,11.93,10.36,10.11,11.3,13.47,16.24,12.14,24.22,16.57,13.25,,13.71,15.49,34.15,24.76,37.59,25.56,17.61,17.7,16.53,24.35,29.99,22.33,27.39,18.73,17.03,15.92,20.68,,15.65,18.59,23.16
ANF,13.67,11.68,11.78,12.85,13.86,13.27,36.02,16.99,17.7,13.9,12.94,13.35,,,,,18.36,15.43,12.25,18.49,14.74,17.5,19.35,11.87,,,,22.66,23.35,18.84,16.79,19.17,33.32,28.48,,,20.7,18.53,16.97,13.41,14.46,12.92,15.43,14.6
APA,14.3,13.4,13.33,,16.96,15.15,12.51,15.51,20.72,16.05,12.86,19.32,11.74,10.68,10.28,10.2,20.02,15.97,13.15,21.23,14.7,14.8,16.12,12.33,27.56,34.12,24.1,29.57,21.34,,17.97,15.1,,25.42,21.95,25.86,22.29,18.34,16.09,16.87,15.34,15.39,16.36,16.27
APC,21.44,13.29,,14.39,19.43,12.85,13.44,15.43,19.98,14.68,13.05,17.06,11.99,10.59,9.43,10.18,29.98,15.49,12.83,23.35,15.57,13.25,,,,,,,,,,,,,,,,,,,,,,
APD,17.42,13.19,12.24,15.15,20.44,13.39,12.5,14.33,22.42,13.77,12.83,,10.63,10.85,10.26,11.23,11.58,17.84,,19.96,18.89,12.28,12.07,12.62,12.98,41.98,24.32,24.8,22.91,16.69,16.15,15.1,24.35,25.42,21.95,25.86,17.87,16.98,16.09,14.89,13.85,14.67,16.36,16.27
THRM,,,16.95,15.15,14.56,,12.5,,,13.77,12.83,14.24,,10.85,9.6,11.23,,17.84,,,14.02,13.11,12.07,13.11,,,24.28,40.28,,,,,,,,,,,,,,,,
ARW,19.11,13.29,12.56,14.39,18.33,13.39,15.6,15.43,21.65,14.68,12.44,19.32,,10.68,10.28,10.2,,15.97,13.15,21.23,,14.8,16.12,12.33,15.15,,24.1,40.28,,19.15,17.97,15.1,22.09,,,,,,16.09,16.87,,,16.36,
ARWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH,17.42,13.41,,14.17,15.52,13.39,12.5,14.54,24.15,13.77,13.05,18.74,10.63,10.76,10.09,,13.84,15.49,12.83,19.91,15.57,13.12,13.94,12.46,18.23,33.61,25.44,24.8,22.91,17.28,,,,33.52,24.69,24.35,19.4,,,14.45,13.31,15.65,,
ASML,,15.61,11.96,,19.89,13.67,,17.67,26.05,13.24,,15.28,11.87,14.42,9.89,10.31,11.66,15.25,12.1,17.62,,12.18,13.97,13.54,12.85,,29.52,26.07,23.24,18.68,,15.7,22.79,,24.5,30.5,19.2,,13.3,17.88,12.55,18.4,13.19,
AGO,14.35,,16.66,13.67,13.84,15.13,12.51,15.05,19.11,16.05,,22.08,11.71,10.46,10.28,9.93,18.72,15.9,13.15,16.72,14.78,19.1,,12.73,,31.44,22.65,27.58,,,17.28,,,31.2,21.95,24.35,20.7,,15.99,14.81,13.43,13.23,,14.97
A,14.14,12.17,12.42,13.99,,12.73,13.02,18.16,24.11,14.68,12.19,13.37,10.74,10.93,12.04,10.65,19.26,12.93,13.31,20.1,14.02,18.06,22.1,11.87,14.83,29.53,21.51,22.66,21.46,18.84,17.91,19.17,28.81,29.45,19.69,22.36,20.7,18.53,16.46,13.41,13.43,14.28,16.27,14.6
AAWW,,,,,16.96,13.39,12.5,15.51,,,13.37,19.32,11.74,10.59,10.09,9.4,20.02,,13.15,21.23,,13.12,16.12,,,,22.99,29.57,21.5,19.48,17.97,16.03,24.29,,,,,,,,,,,
ATHM,,,,,13.86,14.31,13.0,15.51,24.11,14.19,11.81,14.17,12.54,9.96,10.96,9.4,18.36,14.75,10.93,17.36,14.85,19.32,20.17,12.83,14.83,27.51,22.37,20.84,30.24,17.36,17.22,,,28.48,23.93,25.86,,,13.19,,,,,
ATHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPT,14.35,,,,,,,,,,,,12.92,,,11.23,,,10.85,,,19.4,,12.73,27.56,,,,,,,15.1,,,,,20.7,17.78,16.09,16.87,13.84,,27.85,
ATVI,17.23,13.8,16.87,14.89,16.85,15.15,13.0,14.15,28.14,15.91,12.42,22.08,10.88,10.46,10.44,9.93,,,12.19,16.72,15.43,14.42,16.91,12.73,14.96,33.61,23.76,37.59,21.77,19.48,18.04,16.03,,28.21,22.84,24.35,,,,,,,,
AVT,,13.27,16.87,17.87,18.85,12.71,13.0,14.33,23.11,13.77,11.66,14.24,10.81,10.85,10.96,11.23,11.47,17.84,10.85,,18.89,13.25,16.91,13.71,12.98,,22.65,40.28,37.21,17.28,16.06,16.53,31.96,31.6,19.74,27.28,17.87,18.34,16.78,16.87,13.31,15.65,,19.34
